,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-10,Sat,24,Away,L 1–3,Bournemouth,Fulham,N,AM,22,0,0,0,0,3,0,0,0,11,0,0,0,0.3,0.3,0.0,3,0,4,6,0,10,0,1,0,38,0,4,5,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,34.0,4.0,0,0,1,1,10,5,0,-3,0,1.0,1.8,0.0,2024-02-10 15:00:00+00:00,21,0,24,0,607,17.0,1,320,435,115,50,2024-02-10
1,2024-02-17,Sat,25,Away,D 2–2,Bournemouth,Newcastle Utd,N,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2.0,0.0,0,0,1,0,1,1,0,2,0,0.0,0.0,0.0,2024-02-17 15:00:00+00:00,1,0,25,0,1054,0.0,1,358,567,209,50,2024-02-17
2,2024-02-24,Sat,26,Home,L 0–1,Bournemouth,Manchester City,N,"FW,RW",3,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,2,2,2,2,0,0,0,55,29,0,0,1,1,1,1,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,8.0,7.0,0,0,0,0,3,0,0,2,0,0.3,0.3,0.0,2024-02-24 17:30:00+00:00,2,0,26,0,1124,4.0,1,9,315,306,50,2024-02-24
3,2024-03-03,Sun,27,Away,W 2–0,Bournemouth,Burnley,N,FW,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,0,4,0,1,0,20,7,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12.0,1.0,1,0,0,1,4,1,0,1,0,0.3,0.1,0.2,2024-03-03 13:00:00+00:00,1,0,27,0,1319,0.0,1,147,457,310,50,2024-03-03
4,2024-03-09,Sat,28,Home,D 2–2,Bournemouth,Sheffield Utd,N,"FW,AM",29,1,0,0,0,3,2,0,0,11,0,0,0,0.4,0.4,0.0,0,0,6,8,1,6,0,0,0,94,15,2,4,2,2,1,1,0.0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,24.0,0.0,0,0,0,1,10,4,0,27,0,1.1,9.8,36.4,2024-03-09 15:00:00+00:00,28,0,28,0,1477,60.0,5,106,449,343,50,2024-03-09
5,2024-03-13,Wed,17,Home,W 4–3,Bournemouth,Luton Town,N,AM,45,0,1,0,0,4,2,0,0,18,0,0,0,0.4,0.4,0.2,3,2,4,8,0,13,1,1,1,51,15,2,2,2,4,0,1,0.0,1,1,0,0,7,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,9,3,30.0,21.0,0,0,3,1,14,4,0,17,0,10.5,6.6,20.2,2024-03-13 19:30:00+00:00,45,0,28,0,1477,35.0,7,106,449,343,50,2024-03-13
6,2024-03-30,Sat,30,Home,W 2–1,Bournemouth,Everton,N,FW,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,1,3,0,1,0,78,55,2,3,1,1,1,1,0.0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,18.0,0.0,0,0,0,0,3,0,0,2,0,0.6,0.1,0.6,2024-03-30 15:00:00+00:00,5,0,30,0,2806,0.0,1,881,1168,287,50,2024-03-30
7,2024-04-02,Tue,31,Home,W 1–0,Bournemouth,Crystal Palace,N,FW,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,1,0,2,2,1,3,0,0,0,48,21,1,1,0,0,1,1,0.0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9.0,6.0,0,0,0,1,4,0,0,5,0,10.1,1.4,4.2,2024-04-02 18:45:00+00:00,1,0,31,0,2740,0.0,1,-84,294,378,50,2024-04-02
8,2024-04-06,Sat,32,Away,L 1–2,Bournemouth,Luton Town,N,FW,22,0,0,0,0,0,0,0,0,15,1,1,0,0.0,0.0,0.0,1,0,7,8,0,8,1,1,1,72,7,6,7,1,1,0,0,0.0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,2,3,6,7,3,60.0,43.0,1,0,2,2,9,0,0,5,0,2.0,1.4,6.4,2024-04-06 14:00:00+00:00,21,0,32,0,2698,6.0,1,-82,285,367,50,2024-04-06
9,2024-04-13,Sat,33,Home,D 2–2,Bournemouth,Manchester Utd,N,FW,15,0,0,0,0,1,0,0,0,5,0,0,1,0.1,0.1,0.0,0,0,2,2,0,3,0,1,0,12,0,2,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,20.0,0.0,0,1,0,1,4,0,0,0,0,0.3,0.3,0.0,2024-04-13 16:30:00+00:00,14,0,33,0,2631,4.0,1,-122,233,355,50,2024-04-13
