,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-12,Sun,1,Away,D 0–0,Burnley,Southampton,N,FW,18,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,1,8,0,2,0,0,0,4,2,0,2,0,4,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,2.0,0.0,0,0,2,0,10,1,8,0,0,0,2,0,0,1,0.0,0,0,0,0,0,0.2,84,0.0,0,2018-08-12 12:30:00+00:00,12 Aug 13:30,0,0,17,0,0,0,0,0,1,0,53452,0,0,1,4.0,1,0,0,0,55,0,2018-08-12
1,2018-08-19,Sun,2,Home,L 1–3,Burnley,Watford,N,FW,21,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,5,9,1,2,0,0,0,41,15,5,9,0,0,0,0,0.2,1,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,7.0,1.0,0,0,0,1,10,0,9,0,0,0,3,0,0,5,11.7,0,0,0,0,0,3.6,609,2.2,1,2018-08-19 12:30:00+00:00,19 Aug 13:30,0,0,20,0,0,0,0,0,2,0,55272,1,0,0,22.0,1,-3945,3413,7358,55,0,2018-08-19
2,2018-08-26,Sun,3,Away,L 2–4,Burnley,Fulham,N,FW,25,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,5,9,0,2,0,0,0,48,9,3,6,1,2,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,4.0,0.0,0,0,1,0,11,2,9,0,0,0,1,0,0,5,1.3,0,0,0,0,0,0.4,1136,0.0,0,2018-08-26 15:00:00+00:00,26 Aug 16:00,0,0,24,1,0,0,0,0,3,0,47931,0,0,1,4.0,1,-8378,2048,10426,55,0,2018-08-26
3,2018-09-02,Sun,4,Home,L 0–2,Burnley,Manchester Utd,N,"FW,RW",33,0,0,0,0,3,2,0,0,10,0,0,0,0.5,0.5,0.0,3,0,4,6,0,3,0,0,0,44,1,4,6,0,0,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,5.0,0.0,0,0,0,1,9,3,7,0,2,0,-5,0,0,4,12.0,0,0,0,0,1,7.4,1667,5.2,1,2018-09-02 15:00:00+00:00,02 Sep 16:00,0,0,32,0,0,0,0,0,4,0,42133,1,0,1,57.0,1,-6818,1155,7973,54,0,2018-09-02
4,2018-09-16,Sun,5,Away,L 0–1,Burnley,Wolves,Y,FW,69,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,1,0,10,24,1,10,0,0,0,125,25,7,17,1,4,1,2,0.0,1,1,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,3,4,15,12,0,50.0,1.0,1,0,1,1,26,5,24,0,0,0,8,0,3,9,11.8,0,0,0,0,1,2.2,2204,8.6,1,2018-09-16 12:30:00+00:00,16 Sep 13:30,0,0,69,0,0,0,0,0,5,0,37947,1,1,0,2.0,2,-4811,1306,6117,54,0,2018-09-16
5,2018-09-22,Sat,6,Home,W 4–0,Burnley,Bournemouth,Y,FW,68,0,0,0,0,1,0,0,0,30,0,0,0,0.1,0.1,0.1,1,0,12,23,2,12,1,0,0,137,41,9,16,1,3,1,1,0.0,1,1,1,0,23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,16,13,4,62.0,12.0,1,0,1,2,22,4,21,0,0,0,3,1,1,12,13.7,0,0,0,0,1,2.4,2741,0.0,2,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,68,1,0,0,0,0,6,0,36187,2,0,1,10.0,2,-2203,1606,3809,53,0,2018-09-22
6,2018-09-30,Sun,7,Away,W 2–1,Burnley,Cardiff City,Y,FW,90,1,0,0,0,1,1,0,0,38,0,0,1,0.1,0.1,0.0,0,0,11,21,0,19,0,0,0,112,6,6,11,2,6,0,0,0.2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,9,11,13,14,4,47.0,1.0,0,1,5,2,27,5,21,0,0,2,29,0,7,11,2.4,0,0,0,0,4,7.3,3279,47.2,0,2018-09-30 15:00:00+00:00,30 Sep 16:00,0,0,90,1,0,0,0,2,7,0,34566,2,0,0,23.0,8,-1944,1172,3116,53,1,2018-09-30
7,2018-10-06,Sat,8,Home,D 1–1,Burnley,Huddersfield,Y,FW,89,1,0,0,0,3,3,0,0,26,0,0,0,0.2,0.2,0.0,1,0,10,20,4,7,0,0,0,116,86,7,12,2,4,0,0,0.0,1,4,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,13,5,9.0,1.0,0,0,2,1,22,2,20,0,0,3,29,0,1,11,12.2,0,0,0,0,1,11.1,3818,42.2,1,2018-10-06 14:00:00+00:00,06 Oct 15:00,0,0,89,0,0,0,0,0,8,0,45236,1,0,0,57.0,9,8688,11340,2652,53,0,2018-10-06
8,2018-10-20,Sat,9,Away,L 0–5,Burnley,Manchester City,Y,FW,68,0,0,0,0,2,0,0,0,24,0,0,0,0.2,0.2,0.0,0,0,10,17,1,7,0,0,0,135,13,6,9,4,8,0,0,0.0,0,1,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,3,6.0,0.0,0,0,2,1,20,4,17,0,0,0,3,0,0,10,4.5,0,0,0,0,0,1.3,4360,0.0,0,2018-10-20 14:00:00+00:00,20 Oct 15:00,0,0,68,0,0,0,0,1,9,0,54016,1,0,2,13.0,2,7908,15104,7196,53,0,2018-10-20
9,2018-10-28,Sun,10,Home,L 0–4,Burnley,Chelsea,Y,FW,58,0,0,0,0,1,0,0,0,17,1,0,0,0.1,0.1,0.0,0,0,7,13,0,7,0,0,0,80,10,4,7,2,4,0,0,0.0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,13,3,1,17.0,8.0,0,0,0,0,17,2,13,0,0,0,0,0,1,6,1.5,0,0,0,0,1,0.9,4906,0.4,0,2018-10-28 13:30:00+00:00,28 Oct 13:30,0,0,58,1,0,0,0,0,10,0,66149,0,0,1,7.0,1,10833,16678,5845,53,0,2018-10-28
