,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-20,Sun,2,Home,W 3–1,West Ham,Chelsea,Y,DM,80,0,2,0,0,1,0,0,0,36,2,1,1,0.0,0.0,0.2,2,2,22,26,3,12,0,0,0,314,98,16,16,5,5,1,4,0.1,2,1,2,0,22,4,0,0,0,3,0,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,3,2,1,0,3,0,4,14,13,9,0,63.0,15.0,0,0,0,1,15,0,1,30,0,25.1,7.5,47.6,2023-08-20 15:30:00+00:00,80,0,2,0,13480,2.0,9,8549,9302,753,60,2023-08-20
1,2023-08-26,Sat,3,Away,W 3–1,West Ham,Brighton,Y,CM,90,1,0,0,0,3,2,1,0,43,0,4,2,0.8,0.8,0.0,4,1,21,31,3,5,0,0,0,389,217,9,10,9,9,3,10,0.0,0,3,0,0,23,7,3,0,1,5,0,4,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,10,19,14,4,18.0,6.0,1,0,0,0,12,2,0,24,0,1.2,9.6,46.2,2023-08-26 16:30:00+00:00,90,0,3,0,211481,49.0,6,163863,179081,15218,60,2023-08-26
2,2023-09-01,Fri,4,Away,W 2–1,West Ham,Luton Town,Y,DM,90,0,1,0,0,0,0,0,0,87,1,1,2,0.0,0.0,0.2,3,1,68,81,5,47,1,2,2,1110,295,36,38,24,27,7,15,0.2,1,11,0,0,74,7,1,1,0,6,0,6,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,0,2,2,0,4,17,51,20,1,218.0,69.0,0,1,0,0,53,1,2,33,0,22.3,5.4,29.8,2023-09-01 19:00:00+00:00,90,0,4,0,574873,2.0,7,321969,349968,27999,60,2023-09-01
3,2023-09-16,Sat,5,Home,L 1–3,West Ham,Manchester City,Y,"AM,DM",90,1,0,0,0,2,2,0,0,45,0,2,2,0.6,0.6,0.1,2,0,27,31,1,21,0,0,0,480,153,14,15,9,9,4,6,0.2,2,0,0,0,26,5,2,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,15,22,8,1,75.0,38.0,1,0,2,1,26,2,0,26,0,29.1,10.6,52.4,2023-09-16 14:00:00+00:00,90,0,5,0,680009,24.0,7,93201,167368,74167,61,2023-09-16
4,2023-09-24,Sun,6,Away,L 1–3,West Ham,Liverpool,Y,"AM,DM",90,0,0,0,0,0,0,0,0,49,3,2,1,0.0,0.0,0.5,3,0,37,43,4,18,0,0,0,689,199,15,17,16,18,5,7,0.3,3,2,0,0,33,10,3,0,1,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,1,0,1,2,0,5,15,26,9,0,69.0,28.0,0,0,0,1,23,0,0,23,0,43.3,6.0,16.8,2023-09-24 13:00:00+00:00,90,0,6,0,997726,0.0,2,299864,334238,34374,62,2023-09-24
5,2023-09-30,Sat,7,Home,W 2–0,West Ham,Sheffield Utd,Y,"AM,DM,CM",90,0,0,0,0,2,2,0,0,79,2,1,3,0.1,0.1,0.6,8,0,62,68,1,40,2,0,0,1089,287,30,33,23,23,8,11,1.1,6,4,1,1,58,10,2,0,0,9,0,7,0,3,4,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,2,1,1,2,1,0,3,16,40,24,4,226.0,76.0,1,1,1,0,44,5,1,29,1,88.9,15.5,36.2,2023-09-30 14:00:00+00:00,90,0,7,0,1371291,30.0,4,344644,399851,55207,63,2023-09-30
6,2023-10-08,Sun,8,Home,D 2–2,West Ham,Newcastle Utd,Y,DM,90,0,0,0,0,1,0,0,0,45,2,1,0,0.1,0.1,0.0,2,0,29,40,4,18,1,1,1,461,119,15,15,11,15,2,8,0.1,1,2,0,0,31,9,2,0,0,8,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,5,25,15,2,88.0,16.0,1,1,1,0,17,4,0,12,0,16.5,3.0,8.6,2023-10-08 13:00:00+00:00,90,0,8,0,1394501,5.0,2,48700,202219,153519,63,2023-10-08
7,2023-10-22,Sun,9,Away,L 1–4,West Ham,Aston Villa,Y,DM,90,0,0,0,0,1,0,0,0,69,0,1,0,0.1,0.1,0.7,6,0,50,62,5,38,2,4,2,813,292,26,29,21,22,3,10,0.6,4,1,2,0,52,10,2,0,0,10,0,7,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,4,9,35,25,2,203.0,119.0,3,0,1,0,42,5,0,19,0,55.5,8.0,18.4,2023-10-22 15:30:00+00:00,90,0,9,0,1362126,6.0,2,-42930,72214,115144,63,2023-10-22
8,2023-10-29,Sun,10,Home,L 0–1,West Ham,Everton,Y,DM,72,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.2,3,0,54,59,6,39,1,0,0,953,301,28,29,20,23,6,6,0.1,3,3,1,0,52,7,5,0,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,13,41,9,0,179.0,80.0,1,0,0,1,44,0,0,15,0,40.8,5.2,10.8,2023-10-29 13:00:00+00:00,72,0,10,0,1183823,0.0,2,-177249,34430,211679,63,2023-10-29
9,2023-11-04,Sat,11,Away,L 2–3,West Ham,Brentford,Y*,CM,90,0,0,0,0,1,0,0,0,64,2,1,2,0.1,0.1,0.0,3,0,38,56,2,24,1,0,0,649,173,18,19,16,21,3,13,0.0,1,4,0,0,47,9,6,0,0,9,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,2,1,0,2,1,0,3,12,35,18,1,86.0,56.0,0,1,0,0,34,2,0,17,0,12.5,3.0,12.6,2023-11-04 15:00:00+00:00,90,0,11,0,1033425,5.0,2,-155152,31213,186365,62,2023-11-04
