,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–5,Aston Villa,Newcastle Utd,Y,FW,90,0,1,0,0,2,1,0,0,27,1,0,1,0.3,0.3,0.2,3,1,15,18,2,15,1,3,2,212,38,10,11,5,5,0,0,0.1,2,1,1,0,14,4,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,3,3,12,12,5,57.0,31.0,1,0,0,2,18,6,0,18,0,23.4,8.5,32.2,2023-08-12 16:30:00+00:00,90,0,1,0,2116959,29.0,5,0,0,0,80,2023-08-12
1,2023-08-20,Sun,2,Home,W 4–0,Aston Villa,Everton,Y,FW,73,0,0,0,0,1,0,0,0,17,1,0,0,0.3,0.3,0.1,4,1,9,9,0,15,2,1,0,105,11,5,5,1,1,1,1,0.1,3,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,2,8,8,3,110.0,55.0,2,0,2,4,17,8,0,11,1,32.4,5.2,7.2,2023-08-20 13:00:00+00:00,73,0,2,0,2282862,12.0,5,7626,147192,139566,80,2023-08-20
2,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,Y,FW,85,0,1,0,0,5,2,0,0,30,0,0,0,0.9,0.9,0.9,4,1,15,20,0,15,2,1,0,215,20,10,12,3,5,1,2,0.0,2,0,0,0,19,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,13,5,125.0,66.0,1,1,2,0,22,3,0,8,0,24.8,11.1,20.8,2023-08-27 13:00:00+00:00,85,0,3,0,2286440,65.0,5,-49457,158524,207981,80,2023-08-27
3,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,Y,FW,72,0,0,0,0,2,0,0,0,17,0,0,1,0.2,0.2,0.1,1,0,7,9,1,8,0,0,0,75,19,6,6,0,1,0,0,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,10,6,3,17.0,10.0,1,0,2,2,13,1,0,2,0,11.8,2.1,0.0,2023-09-03 13:00:00+00:00,72,0,4,0,2177877,10.0,2,-127619,85482,213101,80,2023-09-03
4,2023-09-16,Sat,5,Home,W 3–1,Aston Villa,Crystal Palace,Y,FW,89,0,0,0,0,4,1,0,0,25,0,0,2,0.6,0.6,0.1,4,1,11,13,4,13,1,2,0,180,45,4,5,7,7,0,1,0.0,1,1,2,0,13,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,2,2,3,20,11,52.0,20.0,1,1,1,0,14,6,0,9,0,13.4,6.0,0.8,2023-09-16 14:00:00+00:00,90,0,5,0,2009637,46.0,5,-204656,72099,276755,80,2023-09-16
5,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,Y,FW,89,1,0,0,0,2,1,0,0,17,0,0,2,0.2,0.2,0.1,3,1,6,8,1,9,2,1,0,84,32,4,5,2,3,0,0,0.1,1,1,0,0,8,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,11,6,75.0,65.0,1,1,4,0,10,2,3,37,1,15.1,7.9,34.2,2023-09-24 13:00:00+00:00,90,0,6,0,1719580,30.0,9,-298097,30794,328891,79,2023-09-24
6,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,Y,FW,90,3,1,0,0,6,4,0,0,38,0,0,2,0.8,0.8,0.4,10,4,17,24,3,30,5,3,2,221,47,10,14,5,6,0,1,0.2,5,1,1,0,24,0,0,0,1,0,0,0,0,6,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,11,26,12,170.0,103.0,2,3,3,0,29,10,3,102,0,53.1,27.4,130.0,2023-09-30 11:30:00+00:00,90,0,7,0,1810773,91.0,23,70975,165220,94245,79,2023-09-30
7,2023-10-08,Sun,8,Away,D 1–1,Aston Villa,Wolves,Y,FW,90,0,1,0,0,3,1,0,0,26,0,0,2,0.3,0.3,0.3,1,1,7,12,1,12,0,1,0,105,17,4,6,2,2,0,1,0.3,1,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,10,15,8,20.0,3.0,0,0,4,1,15,5,0,16,0,10.6,6.4,16.2,2023-10-08 13:00:00+00:00,90,0,8,0,2987250,37.0,5,1068831,1120684,51853,81,2023-10-08
8,2023-10-22,Sun,9,Home,W 4–1,Aston Villa,West Ham,Y,FW,90,1,1,0,0,4,2,0,0,33,0,0,1,0.5,0.5,0.1,2,1,18,24,1,27,4,1,0,183,26,16,20,1,3,0,0,0.0,1,1,0,0,23,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,12,20,9,145.0,88.0,1,3,2,0,31,7,2,36,0,14.7,12.6,58.6,2023-10-22 15:30:00+00:00,90,0,9,0,3362516,53.0,11,405748,457204,51456,82,2023-10-22
9,2023-10-29,Sun,10,Home,W 3–1,Aston Villa,Luton Town,Y,FW,90,0,0,0,0,2,2,0,0,16,0,0,0,0.7,0.7,0.3,4,0,9,12,1,12,1,2,2,111,23,6,8,2,2,0,0,0.6,2,0,0,0,11,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,40.0,13.0,0,1,2,0,13,7,0,7,0,21.5,9.0,12.2,2023-10-29 14:00:00+00:00,90,0,10,0,4255692,56.0,2,852615,872806,20191,83,2023-10-29
