,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-21,Sat,2,Home,W 2–0,Aston Villa,Newcastle Utd,N,FW,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,8,4,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5.0,3.0,0,0,0,0,3,0,0,2,0,0.5,0.0,0.0,2021-08-21 14:00:00+00:00,1,0,2,0,21372,0.0,1,-1226,3370,4596,55,2021-08-21
1,2021-04-25,Sun,33,Home,D 2–2,Aston Villa,West Brom,N,RW,1,0,0,0,0,1,1,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,6,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2.0,0.0,0,0,0,0,1,0,0,3,0,0.3,2.0,3.0,2021-04-25 18:00:00+00:00,1,0,33,0,1061,17.0,1,-10,34,44,60,2021-04-25
2,2021-05-09,Sun,35,Home,L 1–3,Aston Villa,Manchester Utd,N,LW,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,0,2,0,0,0,27,0,3,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,6.0,4.0,0,0,0,0,2,1,0,3,0,0.8,0.1,0.0,2021-05-09 13:05:00+00:00,12,0,35,0,1388,0.0,1,117,230,113,60,2021-05-09
3,2021-05-16,Sun,36,Away,L 2–3,Aston Villa,Crystal Palace,N,FW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.0,2.0,0,0,1,0,1,0,0,5,0,0.0,0.2,2.0,2021-05-16 11:00:00+00:00,2,0,36,0,1555,0.0,1,105,208,103,60,2021-05-16
4,2019-08-10,Sat,1,Away,L 1–3,Aston Villa,Tottenham,Y,FW,73,0,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.0,0,0,8,10,0,11,0,0,0,129,3,5,7,1,1,1,1,0.0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,8,8,1,46.0,0.0,0,0,3,3,16,2,0,2,0,1.1,2.3,5.0,2019-08-10 16:30:00+00:00,73,0,1,0,59003,17.0,2,0,0,0,60,2019-08-10
5,2019-08-17,Sat,2,Home,L 1–2,Aston Villa,Bournemouth,Y,FW,90,0,0,0,0,2,1,0,0,22,0,0,0,0.2,0.2,0.5,4,0,8,15,1,12,2,2,2,146,30,5,7,2,3,1,1,0.2,1,2,0,0,15,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,11,10,5,84.0,44.0,0,2,1,2,18,3,0,6,0,11.2,4.8,5.8,2019-08-17 14:00:00+00:00,90,0,2,0,70354,31.0,2,4529,14202,9673,60,2019-08-17
6,2019-08-23,Fri,3,Home,W 2–0,Aston Villa,Everton,Y,FW,90,1,0,0,0,2,1,0,0,31,1,0,1,0.4,0.4,0.1,3,0,16,21,1,20,3,2,0,245,43,8,9,3,5,3,5,0.0,2,1,0,0,21,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,14,16,3,88.0,25.0,1,2,3,1,24,6,3,28,1,23.0,9.9,38.8,2019-08-23 19:00:00+00:00,90,0,3,0,64136,37.0,9,-7448,10518,17966,60,2019-08-23
7,2019-08-31,Sat,4,Away,L 0–1,Aston Villa,Crystal Palace,Y,FW,84,0,0,0,0,2,1,0,0,25,2,1,1,0.1,0.1,0.0,1,0,13,15,2,11,0,0,0,169,55,8,8,4,4,0,0,0.0,0,3,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,2,4,13,8,5,68.0,9.0,0,0,1,2,17,4,0,8,0,2.5,5.5,9.0,2019-08-31 14:00:00+00:00,84,0,4,0,130782,43.0,2,57067,79153,22086,60,2019-08-31
8,2019-09-16,Mon,5,Home,D 0–0,Aston Villa,West Ham,Y,FW,90,0,0,0,0,2,1,0,0,28,2,0,1,0.6,0.6,0.0,2,0,13,18,2,17,1,2,1,161,26,8,10,1,1,1,1,0.0,0,0,0,0,18,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,2,9,18,6,61.0,20.0,2,1,4,1,24,5,0,-1,1,4.0,3.5,6.6,2019-09-16 19:00:00+00:00,90,0,5,0,139809,24.0,2,7501,35877,28376,60,2019-09-16
9,2019-09-22,Sun,6,Away,L 2–3,Aston Villa,Arsenal,Y,FW,90,1,0,0,0,2,2,0,0,24,1,0,0,0.5,0.5,0.0,1,0,12,17,4,17,0,1,1,166,70,8,10,4,5,0,1,0.0,0,1,1,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,16,8,2,60.0,27.0,0,0,2,0,20,5,1,29,0,1.1,8.0,36.4,2019-09-22 15:30:00+00:00,90,0,6,0,109941,42.0,7,-29167,5158,34325,60,2019-09-22
