,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-01-27,Wed,20,Away,D 0–0,Wolves,Chelsea,N,FW,19,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,1,0,4,5,0,7,0,1,1,38,3,3,3,0,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,5,1,0,31.0,13.0,0,0,2,0,8,0,0,3,0,0.3,0.6,6.0,2021-01-27 18:00:00+00:00,18,0,20,0,1743,0.0,1,1647,2105,458,70,2021-01-27
1,2021-01-30,Sat,21,Away,L 0–1,Wolves,Crystal Palace,Y,FW,90,0,0,0,0,3,2,0,0,39,0,0,0,0.3,0.3,0.0,1,0,23,28,1,22,3,1,0,334,41,14,15,4,8,3,3,0.1,0,0,0,0,26,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,17,16,6,86.0,42.0,2,0,5,0,28,5,0,3,0,1.9,6.9,7.0,2021-01-30 15:00:00+00:00,90,0,21,0,8808,60.0,2,6752,7597,845,70,2021-01-30
2,2021-02-02,Tue,22,Home,W 2–1,Wolves,Arsenal,Y,FW,89,0,0,0,0,2,1,0,0,27,0,0,1,0.1,0.1,0.0,2,1,20,24,1,9,2,2,2,399,28,10,11,5,5,5,5,0.0,1,0,0,0,24,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13,12,4,70.0,29.0,2,0,1,0,16,3,0,18,0,19.4,4.5,6.8,2021-02-02 18:00:00+00:00,90,0,22,0,13493,19.0,5,4408,6439,2031,70,2021-02-02
3,2021-02-07,Sun,23,Home,D 0–0,Wolves,Leicester City,Y,FW,60,0,0,0,0,0,0,0,0,14,0,0,2,0.0,0.0,0.0,0,0,9,10,0,8,0,1,0,170,21,2,3,4,4,2,2,0.0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,9,4,2,23.0,1.0,0,0,1,0,8,1,0,6,1,1.0,0.4,1.4,2021-02-07 14:00:00+00:00,60,0,23,0,19092,2.0,2,4993,7239,2246,70,2021-02-07
4,2021-02-14,Sun,24,Away,W 2–1,Wolves,Southampton,Y,FW,88,0,0,0,0,3,1,0,0,27,1,0,0,0.1,0.1,0.0,0,0,15,20,0,11,1,0,0,188,6,8,12,6,6,0,0,0.0,0,1,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,16,10,3,52.0,6.0,1,0,2,1,19,2,0,3,0,5.3,4.8,0.0,2021-02-14 12:00:00+00:00,88,0,24,0,19023,43.0,2,-303,5344,5647,70,2021-02-14
5,2021-02-19,Fri,25,Home,W 1–0,Wolves,Leeds United,Y,FW,86,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.2,5,0,21,24,2,17,1,0,0,314,71,8,8,9,9,1,2,0.0,4,2,1,0,24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,19,7,1,67.0,24.0,0,0,1,2,25,4,0,7,1,44.8,5.5,8.4,2021-02-19 20:00:00+00:00,86,0,25,0,22081,2.0,2,2319,7349,5030,70,2021-02-19
6,2021-02-27,Sat,26,Away,D 1–1,Wolves,Newcastle Utd,Y,FW,81,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.1,2,0,11,13,0,8,0,0,0,173,16,5,5,4,4,1,1,0.0,1,1,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,16,4,1,16.0,2.0,0,0,4,3,15,2,0,4,0,11.2,1.7,3.8,2021-02-27 20:00:00+00:00,82,0,26,0,20524,2.0,2,-1925,4746,6671,70,2021-02-27
7,2021-03-06,Sat,27,Away,D 0–0,Wolves,Aston Villa,Y,FW,77,0,0,0,0,2,0,0,0,27,0,0,0,0.1,0.1,0.7,2,0,19,21,0,12,0,1,1,239,34,11,12,4,5,1,1,0.0,1,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,13,9,0,45.0,23.0,0,0,0,1,15,2,0,10,1,14.0,2.4,0.8,2021-03-06 17:30:00+00:00,77,0,27,0,16772,9.0,2,-4078,1448,5526,70,2021-03-06
8,2021-03-15,Mon,28,Home,L 0–1,Wolves,Liverpool,Y,FW,69,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,0,0,24,33,3,16,1,0,0,374,51,14,15,5,6,3,6,0.0,0,1,1,0,30,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,28,8,1,53.0,27.0,0,0,1,0,29,5,0,9,0,5.9,1.0,2.4,2021-03-15 20:00:00+00:00,69,0,28,0,14065,2.0,2,-2932,1045,3977,69,2021-03-15
9,2021-04-05,Mon,30,Home,L 2–3,Wolves,West Ham,Y,FW,71,0,0,0,0,3,1,0,0,37,0,0,1,0.6,0.6,0.2,7,0,27,31,2,19,0,2,2,380,78,18,19,7,9,1,1,0.2,3,3,0,0,27,4,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,23,13,5,137.0,4.0,0,0,2,1,28,7,0,10,0,32.7,7.3,7.6,2021-04-05 19:15:00+00:00,71,0,30,0,12547,33.0,2,-709,740,1449,68,2021-04-05
