,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-10,Sat,1,Home,L 0–5,West Ham,Manchester City,Y,DM,55,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,0,0,21,24,2,20,0,0,0,279,67,12,12,6,7,1,1,0.0,0,3,0,0,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,6,21,4,0,61.0,26.0,0,0,1,1,21,1,0,3,0,2.1,0.5,2.6,2019-08-10 11:30:00+00:00,55,0,1,0,32147,0.0,1,0,0,0,50,2019-08-10
1,2019-08-17,Sat,2,Away,D 1–1,West Ham,Brighton,Y,CM,45,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,10,0,8,1,0,0,93,8,8,9,1,1,0,0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,67.0,33.0,0,0,0,2,10,0,0,1,0,1.8,0.1,0.0,2019-08-17 14:00:00+00:00,45,0,2,0,33564,0.0,1,-2772,2521,5293,50,2019-08-17
2,2019-09-22,Sun,6,Home,W 2–0,West Ham,Manchester Utd,N,CM,21,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,2,1,8,8,1,10,0,0,0,118,29,4,4,4,4,0,0,0.0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8,7,0,67.0,5.0,0,0,3,2,8,1,0,2,0,0.8,0.1,0.4,2019-09-22 13:00:00+00:00,20,0,6,0,23578,0.0,1,-1904,343,2247,48,2019-09-22
3,2019-09-28,Sat,7,Away,D 2–2,West Ham,Bournemouth,N,CM,16,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,5,0,5,0,0,0,25,0,1,3,1,2,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,3,0,26.0,10.0,0,0,1,0,5,1,0,3,0,0.3,0.0,0.0,2019-09-28 14:00:00+00:00,15,0,7,0,22762,0.0,1,-1134,825,1959,48,2019-09-28
4,2019-10-05,Sat,8,Home,L 1–2,West Ham,Crystal Palace,N,CM,13,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,2,8,2,1,1,132,18,1,2,4,4,1,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,71.0,59.0,0,1,1,1,7,1,0,3,0,0.6,0.4,1.8,2019-10-05 16:30:00+00:00,12,0,8,0,21960,2.0,1,-991,478,1469,48,2019-10-05
5,2019-10-19,Sat,9,Away,L 0–2,West Ham,Everton,N,CM,28,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,7,10,1,10,2,0,0,97,0,4,5,3,3,0,1,0.0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,7,5,1,83.0,49.0,1,0,2,1,10,1,0,2,0,0.9,0.3,0.2,2019-10-19 11:30:00+00:00,27,0,9,0,21231,2.0,1,-960,327,1287,48,2019-10-19
6,2020-07-01,Wed,32,Home,W 3–2,West Ham,Chelsea,N,"AM,LM",23,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,7,1,7,1,1,0,84,13,3,4,2,2,0,1,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,38.0,8.0,0,0,0,1,8,2,0,0,0,0.5,0.0,0.0,2020-07-01 19:15:00+00:00,22,0,41,0,14738,0.0,1,-102,102,204,46,2020-07-01
7,2020-07-11,Sat,35,Away,W 4–0,West Ham,Norwich City,N,AM,14,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,4,4,1,6,0,2,0,53,23,2,2,2,2,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,21.0,5.0,0,0,0,1,8,0,0,0,0,0.0,0.1,1.4,2020-07-11 11:30:00+00:00,13,0,44,0,14808,0.0,1,2,182,180,46,2020-07-11
8,2018-08-12,Sun,1,Away,L 0–4,West Ham,Liverpool,Y,"AM,DM,CM",90,0,0,0,0,0,0,0,0,48,2,2,2,0.0,0.0,0.0,1,0,33,40,1,33,1,1,1,451,90,21,22,6,8,3,7,0.0,0,2,0,0,37,3,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,5,35,8,0,170.0,78.0,0,0,0,2,36,0,0,10,0,3.8,1.7,12.8,2018-08-12 12:30:00+00:00,90,0,1,0,239569,0.0,2,0,0,0,50,2018-08-12
9,2018-08-18,Sat,2,Home,L 1–2,West Ham,Bournemouth,Y,"CM,DM",90,0,0,0,0,1,1,1,0,63,1,1,1,0.1,0.1,0.0,1,0,46,56,6,33,2,3,3,766,178,21,21,15,16,7,8,0.0,1,8,0,0,55,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,0,0,2,6,41,16,2,178.0,92.0,1,0,0,0,44,4,0,14,0,15.6,3.9,12.8,2018-08-18 14:00:00+00:00,90,0,2,0,238782,11.0,1,-16862,9084,25946,50,2018-08-18
