,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Fulham,Everton,Y,RW,90,0,0,0,0,1,0,0,0,34,1,0,1,0.1,0.1,0.4,5,1,27,29,4,33,3,1,1,412,93,16,16,7,9,3,3,0.2,2,3,3,2,29,0,0,0,0,2,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,5,17,12,2,228.0,111.0,1,1,1,2,34,6,0,13,1,32.9,4.9,10.8,2023-08-12 14:00:00+00:00,90,0,1,0,15157,5.0,3,0,0,0,55,2023-08-12
1,2023-08-19,Sat,2,Home,L 0–3,Fulham,Brentford,Y,"RW,RM",90,0,0,0,0,2,2,0,0,47,0,0,2,0.0,0.0,0.0,4,0,29,38,6,30,1,1,0,379,98,18,19,11,12,0,2,0.1,1,2,5,1,37,1,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4,20,24,2,243.0,109.0,1,0,2,0,38,10,0,8,0,20.8,5.8,11.0,2023-08-19 14:00:00+00:00,90,0,2,0,20686,26.0,2,1268,3379,2111,55,2023-08-19
2,2023-08-26,Sat,3,Away,D 2–2,Fulham,Arsenal,Y,RW,70,0,0,0,0,1,0,0,0,23,0,0,2,0.0,0.0,0.0,2,0,13,16,1,11,0,1,0,182,31,10,12,2,3,1,1,0.0,0,1,0,0,16,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,4,15,4,0,63.0,18.0,1,0,1,0,15,1,0,5,0,1.8,0.1,0.0,2023-08-26 14:00:00+00:00,70,0,3,0,17178,1.0,2,-4122,641,4763,55,2023-08-26
3,2023-09-02,Sat,4,Away,L 1–5,Fulham,Manchester City,Y,RW,80,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,7,12,0,7,1,2,0,95,9,5,7,1,2,1,1,0.0,0,0,0,0,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,1,82.0,25.0,0,1,1,0,12,2,0,4,0,0.8,0.1,0.0,2023-09-02 14:00:00+00:00,80,0,4,0,15582,2.0,2,-2312,452,2764,54,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Fulham,Luton Town,Y,RW,80,0,0,0,0,2,1,0,0,50,0,0,0,0.1,0.1,0.1,3,0,40,45,2,37,0,0,0,555,80,21,23,15,17,1,2,0.1,1,2,2,0,43,2,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25,2,166.0,62.0,0,0,2,1,46,12,0,11,1,16.3,3.1,2.2,2023-09-16 14:00:00+00:00,80,0,5,0,20290,12.0,3,3501,5985,2484,54,2023-09-16
5,2023-09-23,Sat,6,Away,D 0–0,Fulham,Crystal Palace,N,RW,12,0,0,0,0,1,0,0,0,17,2,1,0,0.0,0.0,0.0,0,0,8,12,1,8,1,2,1,102,9,6,8,2,4,0,0,0.0,0,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,5,5,7,2,83.0,39.0,1,0,0,0,11,5,0,7,0,3.3,1.6,6.4,2023-09-23 14:00:00+00:00,11,0,6,0,18592,6.0,1,-1695,1457,3152,54,2023-09-23
6,2023-10-02,Mon,7,Home,L 0–2,Fulham,Chelsea,Y,RW,53,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.0,0,0,20,28,4,24,2,0,0,297,51,9,12,6,8,3,5,0.0,0,0,1,0,26,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,10,22,2,129.0,82.0,2,1,2,2,28,9,0,0,0,3.2,0.9,0.0,2023-10-02 19:00:00+00:00,53,0,7,0,16130,6.0,1,-2603,608,3211,54,2023-10-02
7,2023-10-07,Sat,8,Home,W 3–1,Fulham,Sheffield Utd,N,RW,13,0,0,0,0,1,0,0,0,14,1,0,0,0.0,0.0,0.0,2,1,11,12,0,13,0,1,1,135,31,8,8,3,4,0,0,0.2,0,0,1,1,12,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,6,6,0,97.0,45.0,0,0,0,0,13,1,0,4,0,6.1,1.1,3.4,2023-10-07 14:00:00+00:00,12,0,8,0,16708,1.0,1,173,1754,1581,54,2023-10-07
8,2023-10-23,Mon,9,Away,L 0–2,Fulham,Tottenham,N,RW,29,0,0,0,0,2,0,0,0,15,2,0,0,0.3,0.3,0.5,2,0,8,10,2,9,1,1,1,194,52,4,4,2,3,2,2,0.2,1,1,1,0,10,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,3,7,5,2,46.0,25.0,0,1,0,0,8,1,0,8,0,13.8,3.2,7.8,2023-10-23 19:00:00+00:00,28,0,9,0,15236,10.0,1,-1505,590,2095,54,2023-10-23
9,2023-10-29,Sun,10,Away,D 1–1,Fulham,Brighton,N,RW,33,0,1,0,0,0,0,1,0,13,1,0,0,0.0,0.0,0.2,3,1,7,9,0,8,1,3,2,111,7,5,6,1,2,1,1,0.1,2,0,0,0,9,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,8,6,1,78.0,31.0,1,1,1,1,11,2,0,12,0,21.0,4.4,21.2,2023-10-29 14:00:00+00:00,32,0,10,0,14365,2.0,3,-964,366,1330,53,2023-10-29
