,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,N,LM,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.2,2.0,2021-08-22 13:00:00+00:00,1,0,2,0,85719,0.0,1,-2460,8925,11385,45,2021-08-22
1,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,LM,59,0,0,0,0,0,0,0,0,31,0,2,5,0.0,0.0,0.0,0,0,21,25,1,23,0,1,1,253,82,11,12,6,7,1,3,0.0,0,2,0,0,24,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,20,4,0,77.0,30.0,0,0,0,1,20,1,0,4,0,0.9,0.4,3.0,2021-09-11 11:30:00+00:00,59,0,4,0,101505,0.0,1,5174,25729,20555,45,2021-09-11
2,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,CM,90,0,0,0,0,0,0,0,0,61,2,1,1,0.0,0.0,0.0,1,0,40,49,8,34,0,2,1,671,277,16,21,22,23,2,4,0.0,0,6,1,0,47,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,2,0,1,2,0,4,14,37,10,0,168.0,29.0,2,0,4,0,37,2,0,11,0,3.3,1.5,11.8,2021-11-21 16:30:00+00:00,90,0,12,0,100034,0.0,2,2434,6584,4150,44,2021-11-21
3,2021-12-02,Thu,14,Home,W 2–0,Tottenham,Brentford,N,CM,14,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,1,11,0,1,0,160,49,2,2,4,5,1,2,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,1,0,59.0,9.0,0,0,0,0,10,0,0,0,0,0.3,0.0,0.0,2021-12-02 19:30:00+00:00,13,0,14,0,108895,0.0,1,1778,4935,3157,44,2021-12-02
4,2021-12-19,Sun,18,Home,D 2–2,Tottenham,Liverpool,Y,CM,90,0,0,0,0,0,0,1,0,74,1,4,4,0.0,0.0,0.0,4,1,50,64,5,41,2,2,1,1001,424,21,25,17,19,11,15,0.2,1,7,1,0,63,0,0,3,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1,3,1,1,0,3,22,47,8,0,285.0,112.0,1,0,1,0,54,1,1,21,0,15.2,4.3,27.6,2021-12-19 16:30:00+00:00,90,0,18,0,108364,0.0,5,-730,2980,3710,44,2021-12-19
5,2021-12-28,Tue,20,Away,D 1–1,Tottenham,Southampton,Y,CM,90,0,0,0,0,0,0,1,0,92,1,2,0,0.0,0.0,0.5,8,1,77,87,14,81,1,0,0,1275,376,30,31,40,41,3,10,0.7,3,10,4,1,85,1,1,1,0,6,0,0,1,7,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,3,19,40,34,1,368.0,143.0,2,1,1,2,79,3,0,19,0,54.1,7.7,21.0,2021-12-28 15:00:00+00:00,90,0,20,0,111244,2.0,1,-1215,1966,3181,44,2021-12-28
6,2022-01-01,Sat,21,Away,W 1–0,Tottenham,Watford,N,CM,21,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.0,0,0,34,38,5,33,1,0,0,502,166,18,19,15,17,0,0,0.0,0,8,1,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,3,27,12,0,132.0,67.0,3,0,0,0,35,2,0,9,0,4.3,1.3,8.4,2022-01-01 15:00:00+00:00,20,0,21,0,109319,0.0,1,-1406,3643,5049,44,2022-01-01
7,2022-01-19,Wed,17,Away,W 3–2,Tottenham,Leicester City,Y,CM,73,0,1,0,0,0,0,0,0,71,0,1,0,0.0,0.0,0.9,4,1,61,68,7,54,0,0,0,1172,433,17,18,32,33,10,13,0.4,4,5,1,0,62,6,1,1,0,4,0,4,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,9,53,9,0,235.0,90.0,0,0,3,0,54,0,0,29,0,53.5,8.3,29.2,2022-01-19 19:30:00+00:00,73,0,22,0,107610,0.0,5,-2458,4201,6659,44,2022-01-19
8,2022-01-23,Sun,23,Away,L 0–2,Tottenham,Chelsea,Y,CM,88,0,0,0,0,1,1,0,0,49,0,4,0,0.1,0.1,0.0,2,0,33,41,2,28,1,3,2,556,167,12,13,19,23,1,4,0.0,1,2,0,0,33,8,3,1,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,18,28,6,0,112.0,68.0,1,0,0,0,33,0,0,15,0,18.3,4.1,15.8,2022-01-23 16:30:00+00:00,88,0,23,0,107484,7.0,2,-121,3734,3855,44,2022-01-23
9,2022-02-09,Wed,24,Home,L 2–3,Tottenham,Southampton,Y,"CM,DM",90,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.1,1,0,48,56,8,49,0,1,1,721,266,29,31,14,18,4,6,0.1,1,11,1,1,55,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,1,1,1,1,11,45,6,0,234.0,99.0,1,0,1,0,54,5,0,14,0,16.2,2.7,10.6,2022-02-09 19:45:00+00:00,90,0,24,0,108161,0.0,2,270,4077,3807,44,2022-02-09
