,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-05,Fri,1,Away,W 2–0,Arsenal,Crystal Palace,Y,LM,90,0,0,0,0,0,0,1,0,61,1,2,2,0.0,0.0,0.0,3,0,41,48,8,33,0,0,0,575,204,22,24,14,16,1,3,0.1,1,5,1,0,44,4,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,3,0,8,19,29,14,1,115.0,63.0,2,0,1,1,39,1,0,12,1,15.0,3.4,16.6,2022-08-05 19:00:00+00:00,90,0,1,0,48303,2.0,2,0,0,0,50,2022-08-05
1,2022-08-13,Sat,2,Home,W 4–2,Arsenal,Leicester City,Y,"LM,DM",90,1,1,0,0,2,1,0,0,53,0,0,1,0.4,0.4,0.1,3,1,40,47,4,34,2,0,0,565,148,26,29,10,12,3,3,0.1,2,4,1,0,44,3,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,21,28,4,126.0,56.0,2,0,0,2,45,7,2,35,0,25.5,10.8,54.8,2022-08-13 14:00:00+00:00,90,0,2,0,65418,28.0,12,-629,9001,9630,50,2022-08-13
2,2022-08-20,Sat,3,Away,W 3–0,Arsenal,Bournemouth,Y,"LM,DM",87,0,1,0,0,0,0,0,0,59,1,0,0,0.0,0.0,0.2,3,1,47,56,2,45,0,1,1,652,137,25,27,18,22,1,2,0.1,3,3,0,0,53,2,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,9,38,13,3,125.0,34.0,1,0,1,0,45,3,0,25,1,34.0,6.6,25.8,2022-08-20 16:30:00+00:00,87,0,3,0,216726,6.0,6,112040,137326,25286,50,2022-08-20
3,2022-08-27,Sat,4,Home,W 2–1,Arsenal,Fulham,Y,"LM,CM,DM",90,0,0,0,0,1,0,0,0,67,0,1,1,0.1,0.1,0.2,5,0,47,60,8,39,2,1,0,906,248,22,29,17,17,8,11,0.1,2,5,0,0,57,3,2,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,31,28,5,116.0,53.0,0,1,0,2,49,9,0,9,0,25.0,4.5,8.2,2022-08-27 16:30:00+00:00,90,0,4,0,267951,12.0,2,42760,77459,34699,50,2022-08-27
4,2022-08-31,Wed,5,Home,W 2–1,Arsenal,Aston Villa,Y,"LM,CM,DM",90,0,0,0,0,0,0,0,0,70,1,0,1,0.0,0.0,0.1,4,0,50,63,5,45,2,1,0,872,226,21,23,25,30,4,5,0.0,2,6,2,0,62,1,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,2,0,2,11,36,23,4,121.0,75.0,1,2,1,0,51,4,0,14,0,25.0,4.6,12.6,2022-08-31 18:30:00+00:00,90,0,5,0,288460,8.0,2,10781,49435,38654,50,2022-08-31
5,2022-09-04,Sun,6,Away,L 1–3,Arsenal,Manchester Utd,Y,"LM,DM",90,0,0,0,0,3,0,0,0,51,2,2,2,0.2,0.2,0.0,3,1,35,39,8,16,1,1,1,621,154,16,18,15,16,4,5,0.1,1,4,0,0,38,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,3,6,23,22,6,52.0,30.0,2,0,1,2,33,6,0,18,0,14.9,7.6,15.2,2022-09-04 15:30:00+00:00,90,0,6,0,308627,46.0,2,8776,50721,41945,50,2022-09-04
6,2022-09-18,Sun,8,Away,W 3–0,Arsenal,Brentford,Y*,LM,90,0,1,0,0,1,0,1,0,64,0,1,0,0.0,0.0,0.6,4,1,50,56,6,48,0,0,0,767,194,29,32,18,19,3,5,0.3,3,6,2,0,53,3,3,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,7,42,16,1,166.0,75.0,2,0,1,2,46,2,0,24,1,36.2,6.4,25.0,2022-09-18 11:00:00+00:00,90,0,8,0,302039,3.0,5,-3612,11300,14912,50,2022-09-18
7,2022-10-01,Sat,9,Home,W 3–1,Arsenal,Tottenham,Y,LM,90,1,0,0,0,3,1,0,0,56,0,0,0,0.3,0.3,0.1,6,1,41,49,8,44,1,0,0,737,198,16,19,19,21,5,5,0.2,1,5,2,1,48,1,1,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,23,29,5,146.0,66.0,0,0,3,0,44,7,2,29,0,20.2,8.7,36.2,2022-10-01 11:30:00+00:00,90,0,9,0,317511,31.0,9,7375,32640,25265,51,2022-10-01
8,2022-10-09,Sun,10,Home,W 3–2,Arsenal,Liverpool,Y,"LM,CM",90,0,0,0,0,1,0,0,0,47,1,0,1,0.1,0.1,0.0,3,1,25,35,4,21,1,1,1,384,178,12,16,10,13,2,3,0.2,0,3,2,0,34,1,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,4,9,18,20,7,74.0,40.0,0,0,0,2,29,7,0,8,0,7.3,4.2,16.6,2022-10-09 15:30:00+00:00,90,0,10,0,390185,18.0,2,63525,83754,20229,51,2022-10-09
9,2022-10-16,Sun,11,Away,W 1–0,Arsenal,Leeds United,Y,"LM,CM,DM",90,0,0,0,0,0,0,0,0,48,0,1,1,0.0,0.0,0.0,2,0,36,40,5,23,0,1,1,638,199,13,14,16,18,5,5,0.0,0,3,0,0,39,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,13,26,9,1,69.0,47.0,1,0,2,0,33,2,0,15,1,2.8,1.3,8.6,2022-10-16 13:00:00+00:00,90,0,11,0,381694,2.0,3,-8549,26252,34801,51,2022-10-16
