,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-10-21,Sat,9,Home,W 3–0,Brentford,Burnley,N,LM,15,0,0,0,0,1,0,0,0,15,1,1,0,0.1,0.1,0.0,0,0,8,12,2,7,1,0,0,93,15,4,6,3,4,0,1,0.0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,1,0,1,3,5,7,2,44.0,30.0,0,0,0,0,9,0,0,1,0,1.0,1.0,1.4,2023-10-21 14:00:00+00:00,14,0,9,0,66566,8.0,1,-2044,1584,3628,44,2023-10-21
1,2023-10-28,Sat,10,Away,W 2–0,Brentford,Chelsea,N,CM,15,0,0,0,0,1,1,0,0,9,0,0,1,0.5,0.5,0.0,0,0,6,6,1,2,0,0,0,74,7,3,3,2,2,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,4,1,5.0,0.0,0,0,0,1,3,0,0,-2,0,0.8,2.1,3.2,2023-10-28 11:30:00+00:00,14,0,10,0,65586,17.0,1,-1229,2298,3527,44,2023-10-28
2,2023-11-04,Sat,11,Home,W 3–2,Brentford,West Ham,N,LM,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,5,0,4,0,2,1,66,10,4,4,1,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,2,1,1,24.0,2.0,0,0,0,1,2,0,0,2,0,0.0,0.4,0.2,2023-11-04 15:00:00+00:00,12,0,11,0,64639,4.0,1,-1105,1532,2637,44,2023-11-04
3,2023-11-12,Sun,12,Away,L 0–3,Brentford,Liverpool,N,CM,19,0,0,0,0,1,0,0,0,17,2,0,0,0.0,0.0,0.0,1,0,9,12,1,12,1,4,4,150,57,4,5,5,5,0,1,0.0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,10,6,1,107.0,42.0,1,0,1,0,10,2,0,7,0,0.5,1.3,7.0,2023-11-12 14:00:00+00:00,18,0,12,0,62570,5.0,1,-2030,713,2743,44,2023-11-12
4,2023-11-25,Sat,13,Home,L 0–1,Brentford,Arsenal,Y,CM,71,0,0,0,0,1,1,0,0,24,0,0,2,0.0,0.0,0.0,1,0,11,18,2,16,0,0,0,148,37,8,10,3,7,0,0,0.0,0,3,0,0,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,11,9,0,49.0,27.0,0,0,0,0,18,3,0,5,1,2.1,1.3,3.8,2023-11-25 17:30:00+00:00,71,0,13,0,61322,7.0,3,-1372,845,2217,44,2023-11-25
5,2023-12-02,Sat,14,Home,W 3–1,Brentford,Luton Town,Y,LM,69,0,0,0,0,1,0,0,0,42,3,0,1,0.0,0.0,0.0,4,0,27,30,5,21,1,2,1,346,51,15,16,10,10,0,1,0.0,2,1,2,0,30,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,1,0,0,1,0,0,1,2,18,22,2,92.0,25.0,0,0,3,0,26,8,0,14,1,23.8,4.1,10.0,2023-12-02 15:00:00+00:00,69,0,14,0,62529,7.0,3,849,2159,1310,44,2023-12-02
6,2023-12-06,Wed,15,Away,L 1–2,Brentford,Brighton,Y,CM,45,0,0,0,0,0,0,0,0,21,1,1,2,0.0,0.0,0.0,0,0,13,14,1,13,0,2,1,250,73,7,7,5,5,1,1,0.0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,2,12,5,4,0,52.0,13.0,0,0,0,0,11,0,0,7,0,2.8,1.2,9.0,2023-12-06 19:30:00+00:00,45,0,15,0,64046,0.0,1,1406,2478,1072,44,2023-12-06
7,2023-12-09,Sat,16,Away,L 0–1,Brentford,Sheffield Utd,N,"CM,RM",45,0,0,0,0,1,1,0,0,22,2,0,0,0.0,0.0,0.0,0,0,14,18,5,13,1,2,2,263,94,9,10,3,5,2,3,0.0,0,2,1,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,4,12,7,1,107.0,68.0,0,1,0,0,15,2,0,5,0,1.1,2.8,10.0,2023-12-09 15:00:00+00:00,45,0,16,0,63578,17.0,1,-426,1248,1674,44,2023-12-09
8,2023-12-17,Sun,17,Home,L 1–2,Brentford,Aston Villa,N,CM,3,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,0,2,0,0,0,45,9,2,2,1,2,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,4.0,1.0,0,0,0,1,4,0,0,-1,0,0.0,0.0,0.0,2023-12-17 14:00:00+00:00,2,0,17,0,61419,0.0,0,-2023,652,2675,44,2023-12-17
9,2023-12-27,Wed,19,Home,L 1–4,Brentford,Wolves,Y,RM,45,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,15,22,1,16,1,2,2,164,27,8,10,3,5,0,0,0.0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,1,3,9,16,0,57.0,22.0,0,0,3,2,16,2,0,5,0,4.2,0.8,4.0,2023-12-27 19:30:00+00:00,45,0,19,0,58503,0.0,1,-957,235,1192,44,2023-12-27
