,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-02-07,Sun,23,Away,L 0–2,West Brom,Tottenham,N,"CM,DM",13,0,0,0,0,1,0,0,0,11,3,0,0,0.1,0.1,0.0,0,0,6,8,0,5,0,0,0,83,22,3,5,3,3,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,2,0,0,0,0,0,0,4,7,1,1,24.0,3.0,0,0,0,0,5,0,0,7,0,0.2,0.8,3.6,2021-02-07 12:00:00+00:00,12,0,23,0,131,4.0,1,35,69,34,45,2021-02-07
1,2021-02-14,Sun,24,Home,D 1–1,West Brom,Manchester Utd,Y,DM,66,0,0,0,0,0,0,0,0,29,0,2,1,0.0,0.0,0.0,0,0,15,21,1,9,0,1,1,205,36,9,11,5,7,0,0,0.0,0,2,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,3,12,15,3,0,34.0,7.0,0,0,0,0,10,1,0,11,0,1.3,0.8,7.0,2021-02-14 14:00:00+00:00,66,0,24,0,196,0.0,2,40,103,63,45,2021-02-14
2,2021-02-20,Sat,25,Away,D 0–0,West Brom,Burnley,Y,"CM,DM",90,0,0,0,0,0,0,0,0,38,1,2,3,0.0,0.0,0.0,3,0,17,27,3,20,1,2,2,281,84,7,11,7,9,1,3,0.0,1,2,0,0,26,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,2,0,4,14,21,5,1,132.0,71.0,2,0,0,1,14,1,0,9,1,11.3,2.4,10.2,2021-02-20 15:00:00+00:00,90,0,25,0,352,2.0,3,121,196,75,45,2021-02-20
3,2021-02-27,Sat,26,Home,W 1–0,West Brom,Brighton,Y,DM,90,0,0,0,0,1,0,0,0,40,1,4,1,0.0,0.0,0.0,1,1,21,24,2,16,0,1,1,317,153,14,14,5,6,2,3,0.0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,5,21,14,6,0,70.0,30.0,0,0,0,0,17,0,0,7,1,1.0,0.8,6.2,2021-02-27 15:00:00+00:00,90,0,26,0,568,1.0,3,152,336,184,45,2021-02-27
4,2021-03-04,Thu,29,Home,L 0–1,West Brom,Everton,Y,DM,90,0,0,0,0,0,0,1,0,69,0,1,3,0.0,0.0,0.1,1,0,57,59,5,40,1,2,1,1009,343,28,29,21,22,6,6,0.0,1,7,0,0,58,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,4,25,37,10,0,176.0,80.0,1,0,2,0,39,1,0,13,0,13.9,2.8,14.4,2021-03-04 18:00:00+00:00,90,0,26,0,568,0.0,1,152,336,184,45,2021-03-04
5,2021-03-07,Sun,27,Home,D 0–0,West Brom,Newcastle Utd,Y,DM,90,0,0,0,0,2,0,0,0,67,5,0,1,0.1,0.1,0.0,1,0,41,49,6,24,0,2,2,690,266,19,22,15,17,4,4,0.0,1,4,0,0,47,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,3,1,0,1,3,0,5,18,34,15,0,63.0,20.0,0,0,3,0,31,0,0,21,1,14.4,4.4,20.4,2021-03-07 12:00:00+00:00,90,0,27,0,691,9.0,3,125,251,126,45,2021-03-07
6,2021-03-13,Sat,28,Away,L 0–1,West Brom,Crystal Palace,Y,"DM,CM",90,0,0,0,0,1,0,0,0,71,1,0,0,0.0,0.0,0.3,2,0,51,59,10,37,1,4,2,732,284,30,32,13,14,4,4,0.5,1,5,2,0,59,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,2,0,4,12,46,13,2,185.0,99.0,2,0,3,0,41,1,0,12,0,15.6,3.1,9.0,2021-03-13 15:00:00+00:00,90,0,28,0,861,6.0,2,140,310,170,45,2021-03-13
7,2021-04-03,Sat,30,Away,W 5–2,West Brom,Chelsea,Y,CM,90,0,0,0,0,1,0,0,0,62,5,4,0,0.3,0.3,0.0,2,0,36,44,1,35,0,4,2,564,190,20,22,11,15,4,5,0.0,1,4,0,0,41,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3,2,0,2,2,0,0,0,2,0,3,16,43,4,1,141.0,32.0,0,0,4,3,31,0,0,18,0,11.2,4.1,23.0,2021-04-03 11:30:00+00:00,90,0,30,0,970,7.0,2,146,273,127,45,2021-04-03
8,2021-04-12,Mon,31,Home,W 3–0,West Brom,Southampton,Y,CM,90,0,1,0,0,3,0,0,0,46,4,2,0,0.1,0.1,0.2,1,1,21,33,1,20,1,1,1,293,128,10,14,6,9,2,2,0.1,1,2,0,0,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,6,4,0,0,2,0,4,11,28,8,3,55.0,19.0,0,1,1,1,17,0,0,24,1,12.7,6.5,28.2,2021-04-12 17:00:00+00:00,90,0,31,0,1083,24.0,6,92,549,457,45,2021-04-12
9,2021-04-22,Thu,32,Away,L 0–3,West Brom,Leicester City,Y,CM,90,0,0,0,0,1,0,1,0,35,4,3,0,0.1,0.1,0.0,0,0,16,22,4,21,0,1,0,253,95,4,9,10,11,0,0,0.0,0,1,0,0,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,3,1,0,0,1,0,1,12,19,4,2,49.0,20.0,0,0,1,0,15,0,0,6,0,0.2,2.7,8.2,2021-04-22 19:00:00+00:00,90,0,32,0,2002,19.0,1,867,1068,201,45,2021-04-22
