,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,N,AM,18,0,0,0,0,2,0,0,0,13,0,0,1,0.2,0.2,0.0,2,0,8,9,1,10,1,1,0,105,30,6,6,2,2,0,1,0.1,1,2,1,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,2,73.0,49.0,1,1,0,0,12,0,0,0,0,11.0,1.6,0.0,2023-08-27 13:00:00+00:00,17,0,3,0,1317,6.0,1,880,1006,126,55,2023-08-27
1,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,N,RM,26,0,0,0,0,0,0,0,0,16,2,1,1,0.0,0.0,0.0,2,0,6,8,2,9,3,1,1,93,47,2,4,4,4,0,0,0.0,1,2,0,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,1,1,0,1,1,11,4,1,90.0,67.0,1,1,2,1,10,4,0,4,0,10.7,2.3,9.8,2023-09-03 13:00:00+00:00,25,0,4,0,2716,2.0,1,774,1168,394,55,2023-09-03
2,2023-09-16,Sat,5,Home,W 3–1,Aston Villa,Crystal Palace,Y,LW,56,0,0,0,0,1,0,1,0,29,0,0,2,0.0,0.0,0.6,5,0,14,19,1,24,3,4,1,181,8,9,11,4,6,0,0,0.3,3,0,0,0,19,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3,5,22,11,170.0,112.0,1,3,3,4,25,5,0,-3,0,33.1,6.6,5.8,2023-09-16 14:00:00+00:00,56,0,5,0,3886,27.0,0,418,1030,612,55,2023-09-16
3,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,Y,LW,74,0,0,0,0,2,1,0,0,40,0,0,2,0.2,0.2,0.0,2,0,9,20,4,27,3,8,4,146,28,4,5,5,11,0,0,0.0,0,2,1,0,20,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,7,14,19,6,167.0,70.0,3,2,4,3,25,7,0,4,1,0.9,4.2,8.8,2023-09-24 13:00:00+00:00,74,0,6,0,4031,32.0,3,-156,507,663,55,2023-09-24
4,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,Y,LW,56,0,0,0,0,2,1,0,0,16,1,0,0,0.0,0.0,0.0,3,0,2,6,1,9,0,4,0,30,15,1,1,1,1,0,0,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,10,5,2,52.0,3.0,0,1,0,4,11,3,0,-6,0,0.3,2.5,0.2,2023-09-30 11:30:00+00:00,56,0,7,0,5553,24.0,1,1123,1753,630,55,2023-09-30
5,2023-10-08,Sun,8,Away,D 1–1,Aston Villa,Wolves,N,"LW,FW",29,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,3,7,1,8,1,0,0,33,14,3,5,0,0,0,1,0.0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,35.0,23.0,0,0,2,1,6,1,0,0,0,0.2,0.6,0.0,2023-10-08 13:00:00+00:00,28,0,8,0,7880,9.0,1,1843,3241,1398,55,2023-10-08
6,2023-10-22,Sun,9,Home,W 4–1,Aston Villa,West Ham,Y,LM,75,0,0,0,0,1,0,0,0,30,2,0,1,0.0,0.0,0.0,2,1,18,22,3,28,6,2,2,228,30,13,13,3,6,1,2,0.0,0,3,0,0,22,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,5,4,0,1,1,0,0,3,12,15,1,197.0,134.0,3,1,2,1,26,5,0,6,0,2.9,1.1,5.4,2023-10-22 15:30:00+00:00,75,0,9,0,7134,3.0,2,-907,665,1572,55,2023-10-22
7,2023-10-29,Sun,10,Home,W 3–1,Aston Villa,Luton Town,Y,LM,45,0,0,0,0,6,1,1,0,25,0,0,1,0.6,0.6,0.1,2,0,6,9,1,17,3,3,0,59,17,5,6,1,1,0,1,0.1,1,1,1,0,9,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,7,18,10,98.0,55.0,1,2,1,2,17,3,0,-9,0,11.0,7.7,0.4,2023-10-29 14:00:00+00:00,45,0,10,0,6804,66.0,0,-515,662,1177,55,2023-10-29
8,2023-11-05,Sun,11,Away,L 0–2,Aston Villa,Nott'ham Forest,Y,LM,45,0,0,0,0,2,1,0,0,19,0,0,1,0.2,0.2,0.0,2,0,7,11,3,18,1,2,1,124,57,2,2,5,6,0,1,0.0,0,1,1,0,10,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,11,4,113.0,61.0,0,0,3,4,18,4,0,-6,0,0.9,2.8,0.0,2023-11-05 14:00:00+00:00,45,0,11,0,6421,27.0,1,-548,509,1057,55,2023-11-05
9,2023-12-03,Sun,14,Away,D 2–2,Aston Villa,Bournemouth,Y,FW,45,0,0,0,0,1,0,1,0,15,1,0,2,0.0,0.0,0.0,1,1,3,7,0,8,0,1,0,30,0,3,5,0,0,0,0,0.0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,4,6,6,1,31.0,7.0,0,1,1,3,10,2,0,-7,0,0.3,0.3,0.0,2023-12-03 14:00:00+00:00,45,0,14,0,5403,5.0,0,-423,103,526,54,2023-12-03
