,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2023-08-14,20:00 ,1,Mon,Home,W,1,0,Wolves,2.2,2.2,51,"73,358",Bruno Fernandes,4-1-4-1,4-4-2,Simon Hooper
1,2023-08-19,17:30 ,2,Sat,Away,L,0,2,Tottenham,2.1,1.7,45,"61,910",Bruno Fernandes,4-2-3-1,4-2-3-1,Michael Oliver
2,2023-08-26,15:00 ,3,Sat,Home,W,3,2,Nott'ham Forest,2.8,1.2,66,"73,595",Bruno Fernandes,4-2-3-1,3-4-3,Stuart Attwell
3,2023-09-03,16:30 ,4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45,"60,192",Bruno Fernandes,4-2-3-1,4-3-3,Anthony Taylor
4,2023-09-16,15:00 ,5,Sat,Home,L,1,3,Brighton,1.0,1.7,44,"73,592",Bruno Fernandes,4-1-2-1-2◆,4-2-3-1,Jarred Gillett
5,2023-09-23,20:00 ,6,Sat,Away,W,1,0,Burnley,1.0,1.1,39,"21,593",Bruno Fernandes,4-2-3-1,4-3-3,Tony Harrington
6,2023-09-30,15:00 ,7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77,"73,428",Bruno Fernandes,4-2-3-1,4-3-3,Chris Kavanagh
7,2023-10-07,15:00 ,8,Sat,Home,W,2,1,Brentford,1.4,0.9,64,"73,453",Bruno Fernandes,4-2-3-1,3-5-2,Andy Madley
8,2023-10-21,20:00 ,9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62,"31,543",Bruno Fernandes,4-2-3-1,4-4-2,Michael Oliver
9,2023-10-29,15:30 ,10,Sun,Home,L,0,3,Manchester City,0.9,4.0,40,"73,502",Bruno Fernandes,4-2-3-1,4-2-3-1,Paul Tierney
10,2023-11-04,12:30 ,11,Sat,Away,W,1,0,Fulham,0.7,1.0,55,"24,415",Bruno Fernandes,4-2-3-1,4-2-3-1,John Brooks
11,2023-11-11,15:00 ,12,Sat,Home,W,1,0,Luton Town,2.2,0.4,64,"73,599",Bruno Fernandes,4-2-3-1,3-4-3,Graham Scott
12,2023-11-26,16:30 ,13,Sun,Away,W,3,0,Everton,2.2,2.4,49,"39,257",Bruno Fernandes,4-2-3-1,4-4-1-1,John Brooks
13,2023-12-02,20:00 ,14,Sat,Away,L,0,1,Newcastle Utd,0.5,2.4,42,"52,214",Bruno Fernandes,4-2-3-1,4-3-3,Robert Jones
14,2023-12-06,20:15 ,15,Wed,Home,W,2,1,Chelsea,4.1,1.5,45,"73,607",Bruno Fernandes,4-2-3-1,4-2-3-1,Chris Kavanagh
15,2023-12-09,15:00 ,16,Sat,Home,L,0,3,Bournemouth,1.1,1.5,68,"73,427",Bruno Fernandes,4-2-3-1,4-2-3-1,Peter Bankes
16,2023-12-17,16:30 ,17,Sun,Away,D,0,0,Liverpool,0.8,2.3,32,"57,158",Scott McTominay,4-2-3-1,4-3-3,Michael Oliver
17,2023-12-23,12:30 ,18,Sat,Away,L,0,2,West Ham,1.0,1.2,65,"64,472",Bruno Fernandes,4-2-3-1,4-2-3-1,Simon Hooper
18,2023-12-26,20:00 ,19,Tue,Home,W,3,2,Aston Villa,1.1,1.7,46,"73,574",Bruno Fernandes,4-2-3-1,4-2-3-1,Craig Pawson
19,2023-12-30,17:30 ,20,Sat,Away,L,1,2,Nott'ham Forest,0.8,0.7,56,"29,529",Bruno Fernandes,4-2-3-1,4-2-3-1,Tim Robinson
20,2024-01-14,16:30 ,21,Sun,Home,D,2,2,Tottenham,0.8,1.2,37,"73,489",Bruno Fernandes,4-2-3-1,4-3-3,John Brooks
21,2024-02-01,20:15 ,22,Thu,Away,W,4,3,Wolves,3.3,2.1,47,"31,641",Bruno Fernandes,4-2-3-1,3-4-3,Jarred Gillett
22,2024-02-04,14:00 ,23,Sun,Home,W,3,0,West Ham,0.7,1.4,51,"73,612",Bruno Fernandes,4-2-3-1,4-2-3-1,Andy Madley
23,2024-02-11,16:30 ,24,Sun,Away,W,2,1,Aston Villa,1.8,2.4,44,"42,185",Bruno Fernandes,4-2-3-1,4-2-3-1,Robert Jones
24,2024-02-18,16:30 ,25,Sun,Away,W,2,1,Luton Town,2.9,1.8,42,"11,483",Bruno Fernandes,4-2-3-1,3-4-3,David Coote
25,2024-02-24,15:00 ,26,Sat,Home,L,1,2,Fulham,1.7,1.2,57,"73,487",Bruno Fernandes,4-2-3-1,4-2-3-1,Michael Oliver
26,2024-03-03,15:30 ,27,Sun,Away,L,1,3,Manchester City,0.2,3.3,27,"53,514",Bruno Fernandes,4-2-4-0,3-2-4-1,Andy Madley
27,2024-03-09,12:30 ,28,Sat,Home,W,2,0,Everton,2.7,1.6,51,"73,601",Bruno Fernandes,4-2-4-0,4-4-1-1,Simon Hooper
28,2024-03-30,20:00 ,30,Sat,Away,D,1,1,Brentford,0.6,3.2,53,"17,138",Bruno Fernandes,4-2-3-1,3-5-2,Simon Hooper
29,2024-04-04,20:15 ,31,Thu,Away,L,3,4,Chelsea,1.5,3.0,43,"39,694",Bruno Fernandes,4-2-3-1,4-2-3-1,Jarred Gillett
30,2024-04-07,15:30 ,32,Sun,Home,D,2,2,Liverpool,0.7,3.6,38,"73,501",Bruno Fernandes,4-2-3-1,4-3-3,Anthony Taylor
31,2024-04-13,17:30 ,33,Sat,Away,D,2,2,Bournemouth,1.2,1.6,57,"11,229",Bruno Fernandes,4-2-3-1,4-2-3-1,Tony Harrington
32,2024-04-24,20:00 ,29,Wed,Home,W,4,2,Sheffield Utd,2.9,0.8,71,"73,549",Bruno Fernandes,4-2-3-1,3-5-2,Michael Salisbury
33,2024-04-27,15:00 ,35,Sat,Home,D,1,1,Burnley,2.7,2.1,48,"73,571",Bruno Fernandes,4-2-3-1,4-4-2,John Brooks
34,2024-05-06,20:00 ,36,Mon,Away,L,0,4,Crystal Palace,0.4,1.7,57,"25,190",Casemiro,4-2-3-1,3-4-3,Jarred Gillett
35,2024-05-12,16:30 ,37,Sun,Home,L,0,1,Arsenal,0.5,1.5,54,"73,600",Scott McTominay,4-2-3-1,4-3-3,Paul Tierney
36,2024-05-15,20:00 ,34,Wed,Home,W,3,2,Newcastle Utd,1.5,2.2,45,"73,582",Bruno Fernandes,4-2-2-2,4-3-3,Robert Jones
37,2024-05-19,16:00 ,38,Sun,Away,W,2,0,Brighton,1.3,1.7,45,"31,662",Bruno Fernandes,4-2-2-2,4-2-3-1,Craig Pawson
38,2022-08-07,14:00 ,1,Sun,Home,L,1,2,Brighton,1.4,1.5,62,"73,711",Harry Maguire,4-3-3,3-3-3-1,Paul Tierney
39,2022-08-13,17:30 ,2,Sat,Away,L,0,4,Brentford,0.9,1.6,66,"17,051",Harry Maguire,4-2-3-1,5-3-2,Stuart Attwell
40,2022-08-22,20:00 ,3,Mon,Home,W,2,1,Liverpool,1.8,1.3,30,"74,147",Bruno Fernandes,4-2-3-1,4-3-3,Michael Oliver
41,2022-08-27,12:30 ,4,Sat,Away,W,1,0,Southampton,1.1,1.4,51,"31,196",Bruno Fernandes,4-2-3-1,4-2-3-1,Andy Madley
42,2022-09-01,20:00 ,5,Thu,Away,W,1,0,Leicester City,1.5,0.7,47,"32,226",Bruno Fernandes,4-2-3-1,4-1-4-1,Craig Pawson
43,2022-09-04,16:30 ,6,Sun,Home,W,3,1,Arsenal,1.5,1.3,40,"73,431",Bruno Fernandes,4-2-3-1,4-3-3,Paul Tierney
44,2022-10-02,14:00 ,9,Sun,Away,L,3,6,Manchester City,1.7,3.2,47,"53,475",Bruno Fernandes,4-2-3-1,4-3-3,Michael Oliver
45,2022-10-09,19:00 ,10,Sun,Away,W,2,1,Everton,1.4,0.6,60,"39,258",Bruno Fernandes,4-2-3-1,4-3-3,David Coote
46,2022-10-16,14:00 ,11,Sun,Home,D,0,0,Newcastle Utd,0.8,0.8,63,"73,726",Bruno Fernandes,4-2-3-1,4-3-3,Craig Pawson
47,2022-10-19,20:15 ,12,Wed,Home,W,2,0,Tottenham,1.5,0.6,52,"73,677",Bruno Fernandes,4-2-3-1,3-5-2,Simon Hooper
48,2022-10-22,17:30 ,13,Sat,Away,D,1,1,Chelsea,0.8,1.1,52,"39,503",Bruno Fernandes,4-1-4-1,3-4-3,Stuart Attwell
49,2022-10-30,16:15 ,14,Sun,Home,W,1,0,West Ham,1.2,1.1,53,"73,682",Harry Maguire,4-2-3-1,4-2-3-1,Chris Kavanagh
