,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2023-08-12,12:30 ,1,Sat,Away,L,1,2,Arsenal,1.2,0.8,22,"59,984",Joe Worrall,3-4-3,4-3-3,Michael Oliver
1,2023-08-18,19:45 ,2,Fri,Home,W,2,1,Sheffield Utd,1.4,0.5,50,"29,432",Joe Worrall,3-4-3,3-4-3,Peter Bankes
2,2023-08-26,15:00 ,3,Sat,Away,L,2,3,Manchester Utd,1.2,2.8,34,"73,595",Joe Worrall,3-4-3,4-2-3-1,Stuart Attwell
3,2023-09-02,15:00 ,4,Sat,Away,W,1,0,Chelsea,0.8,2.3,25,"39,820",Joe Worrall,3-4-3,3-4-3,Tim Robinson
4,2023-09-18,19:45 ,5,Mon,Home,D,1,1,Burnley,0.7,0.5,46,"28,958",Joe Worrall,4-2-3-1,4-2-3-1,Robert Jones
5,2023-09-23,15:00 ,6,Sat,Away,L,0,2,Manchester City,1.0,1.3,43,"53,413",Serge Aurier,5-4-1,4-2-3-1,Anthony Taylor
6,2023-10-01,14:00 ,7,Sun,Home,D,1,1,Brentford,0.5,1.6,41,"29,004",Serge Aurier,4-3-3,4-3-3,Paul Tierney
7,2023-10-07,17:30 ,8,Sat,Away,D,0,0,Crystal Palace,1.0,0.8,48,"25,017",Serge Aurier,4-3-3,4-3-3,Craig Pawson
8,2023-10-21,15:00 ,9,Sat,Home,D,2,2,Luton Town,2.9,1.7,57,"29,361",Serge Aurier,4-3-3,4-4-2,Samuel Barrott
9,2023-10-29,14:00 ,10,Sun,Away,L,0,3,Liverpool,0.4,3.2,28,"50,143",Serge Aurier,5-4-1,4-3-3,Chris Kavanagh
10,2023-11-05,14:00 ,11,Sun,Home,W,2,0,Aston Villa,0.4,1.2,27,"29,313",Morgan Gibbs-White,4-3-3,4-4-2,Jarred Gillett
11,2023-11-12,14:00 ,12,Sun,Away,L,2,3,West Ham,1.7,1.8,46,"62,470",Morgan Gibbs-White,4-3-3,4-2-3-1,Michael Salisbury
12,2023-11-25,15:00 ,13,Sat,Home,L,2,3,Brighton,1.9,1.3,47,"29,404",Morgan Gibbs-White,4-1-4-1,4-2-3-1,Anthony Taylor
13,2023-12-02,17:30 ,14,Sat,Home,L,0,1,Everton,0.7,0.7,61,"29,404",Ryan Yates,4-3-3,4-4-1-1,Paul Tierney
14,2023-12-06,19:30 ,15,Wed,Away,L,0,5,Fulham,0.3,2.5,37,"24,105",Felipe,4-2-3-1,4-2-3-1,Joshua Smith
15,2023-12-09,15:00 ,16,Sat,Away,D,1,1,Wolves,1.3,1.2,32,"31,543",Ryan Yates,3-5-2,3-4-3,Samuel Barrott
16,2023-12-15,20:00 ,17,Fri,Home,L,0,2,Tottenham,1.3,1.5,34,"29,296",Ryan Yates,3-5-2,4-2-3-1,Jarred Gillett
17,2023-12-23,15:00 ,18,Sat,Home,L,2,3,Bournemouth,1.0,1.6,34,"29,188",Ryan Yates,4-2-3-1,4-2-3-1,Robert Jones
18,2023-12-26,12:30 ,19,Tue,Away,W,3,1,Newcastle Utd,3.5,2.4,38,"52,207",Morgan Gibbs-White,4-2-3-1,4-3-3,Chris Kavanagh
19,2023-12-30,17:30 ,20,Sat,Home,W,2,1,Manchester Utd,0.7,0.8,44,"29,529",Ryan Yates,4-2-3-1,4-2-3-1,Tim Robinson
20,2024-01-20,17:30 ,21,Sat,Away,L,2,3,Brentford,1.2,1.2,52,"17,077",Ryan Yates,4-2-3-1,3-5-2,Darren England
21,2024-01-30,19:30 ,22,Tue,Home,L,1,2,Arsenal,0.5,1.2,27,"29,387",Morgan Gibbs-White,4-2-3-1,4-3-3,Simon Hooper
22,2024-02-04,14:00 ,23,Sun,Away,D,1,1,Bournemouth,0.5,1.3,55,"11,200",Ryan Yates,4-2-3-1,4-2-3-1,Rebecca Welch
23,2024-02-10,17:30 ,24,Sat,Home,L,2,3,Newcastle Utd,1.5,0.5,39,"29,451",Ryan Yates,4-2-3-1,4-3-3,Anthony Taylor
24,2024-02-17,15:00 ,25,Sat,Home,W,2,0,West Ham,2.8,0.5,49,"29,490",Morgan Gibbs-White,4-2-3-1,4-2-3-1,Thomas Bramall
25,2024-02-24,15:00 ,26,Sat,Away,L,2,4,Aston Villa,2.6,3.6,42,"42,131",Morgan Gibbs-White,4-2-3-1,4-2-3-1,Samuel Barrott
26,2024-03-02,15:00 ,27,Sat,Home,L,0,1,Liverpool,1.0,2.0,31,"29,603",Ryan Yates,4-2-3-1,4-3-3,Paul Tierney
27,2024-03-10,14:00 ,28,Sun,Away,L,0,1,Brighton,0.7,0.4,37,"31,505",Ryan Yates,4-3-3,4-2-3-1,Michael Salisbury
28,2024-03-16,15:00 ,29,Sat,Away,D,1,1,Luton Town,2.0,0.6,40,"11,630",Ryan Yates,4-2-3-1,3-4-3,Darren England
29,2024-03-30,15:00 ,30,Sat,Home,D,1,1,Crystal Palace,0.9,1.2,59,"29,520",Ryan Yates,4-2-3-1,3-4-3,Chris Kavanagh
30,2024-04-02,19:30 ,31,Tue,Home,W,3,1,Fulham,1.5,1.5,34,"28,997",Ryan Yates,4-2-3-1,4-2-3-1,Michael Oliver
31,2024-04-07,18:00 ,32,Sun,Away,L,1,3,Tottenham,1.5,1.5,37,"61,098",Ryan Yates,4-2-3-1,4-2-3-1,Simon Hooper
32,2024-04-13,15:00 ,33,Sat,Home,D,2,2,Wolves,1.9,1.0,46,"29,604",Ryan Yates,4-2-3-1,3-4-1-2,Craig Pawson
33,2024-04-21,13:30 ,34,Sun,Away,L,0,2,Everton,0.9,0.3,59,"39,239",Morgan Gibbs-White,4-2-3-1,4-1-4-1,Anthony Taylor
34,2024-04-28,16:30 ,35,Sun,Home,L,0,2,Manchester City,1.9,0.9,34,"29,677",Morgan Gibbs-White,5-4-1,4-1-4-1,Simon Hooper
35,2024-05-04,15:00 ,36,Sat,Away,W,3,1,Sheffield Utd,1.5,2.2,46,"28,516",Ryan Yates,4-2-3-1,3-5-2,Chris Kavanagh
36,2024-05-11,17:30 ,37,Sat,Home,L,2,3,Chelsea,1.5,1.6,33,"29,708",Ryan Yates,5-4-1,4-2-3-1,Tony Harrington
37,2024-05-19,16:00 ,38,Sun,Away,W,2,1,Burnley,1.7,1.2,28,"21,109",Ryan Yates,4-2-3-1,4-4-2,Graham Scott
38,2022-08-06,15:00 ,1,Sat,Away,L,0,2,Newcastle Utd,0.3,1.7,39,"52,245",Joe Worrall,3-4-1-2,4-3-3,Simon Hooper
39,2022-08-14,14:00 ,2,Sun,Home,W,1,0,West Ham,1.3,2.1,43,"29,281",Joe Worrall,3-4-1-2,4-3-3,Robert Jones
40,2022-08-20,15:00 ,3,Sat,Away,D,1,1,Everton,1.0,1.5,51,"39,271",Joe Worrall,3-4-1-2,3-4-3,Andre Marriner
41,2022-08-28,16:30 ,4,Sun,Home,L,0,2,Tottenham,0.9,2.4,55,"29,296",Joe Worrall,3-4-3,3-4-3,Craig Pawson
