,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2023-08-12,15:00 ,1,Sat,Home,L,0,1,Crystal Palace,0.5,1.9,32,"31,194",John Egan,3-4-3,4-2-3-1,John Brooks
1,2023-08-18,19:45 ,2,Fri,Away,L,1,2,Nott'ham Forest,0.5,1.4,50,"29,432",John Egan,3-4-3,3-4-3,Peter Bankes
2,2023-08-27,14:00 ,3,Sun,Home,L,1,2,Manchester City,0.7,3.5,21,"31,336",John Egan,3-5-2,4-2-3-1,Jarred Gillett
3,2023-09-02,12:30 ,4,Sat,Home,D,2,2,Everton,1.2,2.5,46,"31,124",John Egan,3-5-2,4-4-1-1,Andy Madley
4,2023-09-16,15:00 ,5,Sat,Away,L,1,2,Tottenham,0.7,2.1,30,"61,706",Chris Basham,3-5-2,4-2-3-1,Peter Bankes
5,2023-09-24,16:30 ,6,Sun,Home,L,0,8,Newcastle Utd,0.9,3.9,42,"31,127",John Egan,3-4-3,4-3-3,Stuart Attwell
6,2023-09-30,15:00 ,7,Sat,Away,L,0,2,West Ham,1.1,2.1,48,"62,459",John Egan,3-5-2,4-2-3-1,Graham Scott
7,2023-10-07,15:00 ,8,Sat,Away,L,1,3,Fulham,0.6,2.2,40,"24,361",Chris Basham,3-5-2,4-3-3,Samuel Barrott
8,2023-10-21,20:00 ,9,Sat,Home,L,1,2,Manchester Utd,1.4,1.1,38,"31,543",Oliver Norwood,4-4-2,4-2-3-1,Michael Oliver
9,2023-10-28,15:00 ,10,Sat,Away,L,0,5,Arsenal,0.0,2.8,33,"60,153",Oliver Norwood,4-4-2,4-3-3,Tim Robinson
10,2023-11-04,15:00 ,11,Sat,Home,W,2,1,Wolves,1.0,1.2,39,"29,454",Oliver Norwood,3-4-1-2,4-4-1-1,Robert Jones
11,2023-11-12,14:00 ,12,Sun,Away,D,1,1,Brighton,1.1,1.5,39,"31,367",Oliver Norwood,3-4-3,4-2-3-1,John Brooks
12,2023-11-25,15:00 ,13,Sat,Home,L,1,3,Bournemouth,0.8,2.9,46,"30,208",Oliver Norwood,3-4-3,4-2-3-1,Andy Madley
13,2023-12-02,15:00 ,14,Sat,Away,L,0,5,Burnley,0.4,1.8,37,"21,478",Oliver Norwood,3-4-3,4-4-2,Chris Kavanagh
14,2023-12-06,19:30 ,15,Wed,Home,L,0,2,Liverpool,1.0,1.7,25,"31,406",Anel Ahmedhodžić,3-4-3,4-3-3,Simon Hooper
15,2023-12-09,15:00 ,16,Sat,Home,W,1,0,Brentford,0.8,0.6,41,"28,509",Anel Ahmedhodžić,4-1-4-1,4-3-3,Stuart Attwell
16,2023-12-16,15:00 ,17,Sat,Away,L,0,2,Chelsea,0.4,3.1,22,"39,599",Anel Ahmedhodžić,4-1-4-1,4-2-3-1,Andy Madley
17,2023-12-22,20:00 ,18,Fri,Away,D,1,1,Aston Villa,0.6,0.9,23,"41,651",Jack Robinson,3-4-3,4-4-1-1,Anthony Taylor
18,2023-12-26,15:00 ,19,Tue,Home,L,2,3,Luton Town,2.4,0.6,51,"31,041",Anel Ahmedhodžić,4-4-2,3-4-3,Samuel Allison
19,2023-12-30,15:00 ,20,Sat,Away,L,0,2,Manchester City,0.3,2.2,20,"53,108",Jack Robinson,3-4-3,4-2-3-1,David Coote
20,2024-01-21,14:00 ,21,Sun,Home,D,2,2,West Ham,2.5,2.3,57,"29,164",Anel Ahmedhodžić,4-1-4-1,4-4-1-1,Michael Salisbury
21,2024-01-30,20:00 ,22,Tue,Away,L,2,3,Crystal Palace,0.8,1.1,47,"24,781",Anel Ahmedhodžić,4-1-4-1,4-3-3,Tony Harrington
22,2024-02-03,17:30 ,23,Sat,Home,L,0,5,Aston Villa,1.4,2.2,37,"30,187",Anel Ahmedhodžić,5-4-1,4-2-3-1,Paul Tierney
23,2024-02-10,15:00 ,24,Sat,Away,W,3,1,Luton Town,1.7,1.8,26,"11,138",Anel Ahmedhodžić,5-4-1,3-4-3,Chris Kavanagh
24,2024-02-18,14:00 ,25,Sun,Home,L,0,5,Brighton,0.6,2.9,21,"29,522",Anel Ahmedhodžić,3-5-1-1,4-2-3-1,Stuart Attwell
25,2024-02-25,13:30 ,26,Sun,Away,L,0,1,Wolves,0.6,1.3,37,"30,789",Anel Ahmedhodžić,3-5-2,3-4-3,Darren Bond
26,2024-03-04,20:00 ,27,Mon,Home,L,0,6,Arsenal,0.2,2.3,20,"29,157",Anel Ahmedhodžić,4-5-1,4-3-3,Samuel Barrott
