,Date,Time,Matchweek,Day,Venue,Result,Goals Scored,Goals Conceded,Opponent,xG,xGA,Possession,Attendance,Captain,Formation,Opposition Formation,Referee
0,2023-08-12,15:00 ,1,Sat,Away,D,1,1,Bournemouth,1.1,1.3,38,"11,245",Kurt Zouma,4-2-3-1,4-2-3-1,Peter Bankes
1,2023-08-20,16:30 ,2,Sun,Home,W,3,1,Chelsea,1.8,2.5,25,"62,451",Kurt Zouma,4-2-3-1,3-4-3,John Brooks
2,2023-08-26,17:30 ,3,Sat,Away,W,3,1,Brighton,3.0,1.5,22,"31,508",Kurt Zouma,4-1-4-1,4-2-3-1,Anthony Taylor
3,2023-09-01,20:00 ,4,Fri,Away,W,2,1,Luton Town,1.0,1.4,61,"10,802",Kurt Zouma,4-2-3-1,5-3-2,Paul Tierney
4,2023-09-16,15:00 ,5,Sat,Home,L,1,3,Manchester City,0.9,3.6,32,"62,475",Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley
5,2023-09-24,14:00 ,6,Sun,Away,L,1,3,Liverpool,1.1,3.0,37,"50,136",Kurt Zouma,4-2-3-1,4-3-3,Chris Kavanagh
6,2023-09-30,15:00 ,7,Sat,Home,W,2,0,Sheffield Utd,2.1,1.1,52,"62,459",Kurt Zouma,4-2-3-1,3-5-2,Graham Scott
7,2023-10-08,14:00 ,8,Sun,Home,D,2,2,Newcastle Utd,1.2,2.0,36,"62,473",Kurt Zouma,4-2-3-1,4-3-3,Peter Bankes
8,2023-10-22,16:30 ,9,Sun,Away,L,1,4,Aston Villa,1.1,1.9,42,"41,734",Kurt Zouma,4-2-3-1,4-4-2,David Coote
9,2023-10-29,13:00 ,10,Sun,Home,L,0,1,Everton,0.7,0.8,64,"62,469",Kurt Zouma,4-2-3-1,4-4-1-1,Stuart Attwell
10,2023-11-04,15:00 ,11,Sat,Away,L,2,3,Brentford,1.8,1.5,42,"17,103",James Ward-Prowse,4-4-2,4-3-3,Thomas Bramall
11,2023-11-12,14:00 ,12,Sun,Home,W,3,2,Nott'ham Forest,1.8,1.7,54,"62,470",Kurt Zouma,4-2-3-1,4-3-3,Michael Salisbury
12,2023-11-25,15:00 ,13,Sat,Away,W,2,1,Burnley,0.9,1.3,50,"21,319",Kurt Zouma,4-2-3-1,4-4-2,Samuel Barrott
13,2023-12-03,14:00 ,14,Sun,Home,D,1,1,Crystal Palace,1.1,0.9,55,"62,414",Tomáš Souček,4-2-3-1,4-3-3,Michael Oliver
14,2023-12-07,20:15 ,15,Thu,Away,W,2,1,Tottenham,2.2,1.8,26,"61,171",Kurt Zouma,4-3-3,4-2-3-1,Michael Salisbury
15,2023-12-10,14:00 ,16,Sun,Away,L,0,5,Fulham,1.3,2.3,37,"23,988",Kurt Zouma,4-4-1-1,4-2-3-1,Paul Tierney
16,2023-12-17,14:00 ,17,Sun,Home,W,3,0,Wolves,1.1,0.7,45,"62,455",Kurt Zouma,4-2-3-1,3-4-3,Chris Kavanagh
17,2023-12-23,12:30 ,18,Sat,Home,W,2,0,Manchester Utd,1.2,1.0,35,"64,472",Kurt Zouma,4-2-3-1,4-2-3-1,Simon Hooper
18,2023-12-28,20:15 ,19,Thu,Away,W,2,0,Arsenal,1.4,2.7,27,"60,261",Angelo Ogbonna,4-2-3-1,4-3-3,Michael Oliver
19,2024-01-02,19:30 ,20,Tue,Home,D,0,0,Brighton,0.7,2.3,32,"62,462",Angelo Ogbonna,4-2-3-1,4-3-1-2,Samuel Barrott
20,2024-01-21,14:00 ,21,Sun,Away,D,2,2,Sheffield Utd,2.3,2.5,43,"29,164",Kurt Zouma,4-4-1-1,4-1-4-1,Michael Salisbury
21,2024-02-01,19:30 ,22,Thu,Home,D,1,1,Bournemouth,1.4,1.2,48,"62,478",Kurt Zouma,4-3-2-1,4-2-3-1,Tim Robinson
22,2024-02-04,14:00 ,23,Sun,Away,L,0,3,Manchester Utd,1.4,0.7,49,"73,612",Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley
23,2024-02-11,14:00 ,24,Sun,Home,L,0,6,Arsenal,0.2,3.6,30,"62,475",Kurt Zouma,4-2-3-1,4-3-3,Craig Pawson
24,2024-02-17,15:00 ,25,Sat,Away,L,0,2,Nott'ham Forest,0.5,2.8,51,"29,490",Kurt Zouma,4-2-3-1,4-2-3-1,Thomas Bramall
25,2024-02-26,20:00 ,26,Mon,Home,W,4,2,Brentford,1.7,0.9,41,"62,450",Kurt Zouma,4-2-3-1,3-5-2,Simon Hooper
26,2024-03-02,15:00 ,27,Sat,Away,W,3,1,Everton,1.9,2.7,45,"39,262",Kurt Zouma,4-2-3-1,4-4-1-1,Craig Pawson
27,2024-03-10,14:00 ,28,Sun,Home,D,2,2,Burnley,2.1,0.7,52,"62,441",Tomáš Souček,4-2-3-1,4-4-2,Darren England
28,2024-03-17,14:00 ,29,Sun,Home,D,1,1,Aston Villa,2.0,0.7,31,"62,461",Kurt Zouma,4-2-3-1,4-4-2,Jarred Gillett
29,2024-03-30,12:30 ,30,Sat,Away,L,3,4,Newcastle Utd,1.4,4.1,40,"52,199",Kurt Zouma,4-2-3-1,4-3-3,Robert Jones
30,2024-04-02,20:15 ,31,Tue,Home,D,1,1,Tottenham,1.5,1.0,33,"62,469",Kurt Zouma,4-5-1,4-2-3-1,John Brooks
31,2024-04-06,15:00 ,32,Sat,Away,W,2,1,Wolves,1.2,1.5,42,"31,504",Kurt Zouma,4-2-3-1,3-4-3,Tony Harrington
32,2024-04-14,14:00 ,33,Sun,Home,L,0,2,Fulham,0.9,3.2,58,"62,459",Łukasz Fabiański,4-2-3-1,4-2-3-1,Stuart Attwell
33,2024-04-21,15:00 ,34,Sun,Away,L,2,5,Crystal Palace,1.3,2.4,40,"25,145",Kurt Zouma,4-2-3-1,3-4-3,Graham Scott
34,2024-04-27,12:30 ,35,Sat,Home,D,2,2,Liverpool,0.7,1.7,29,"62,474",Kurt Zouma,4-2-3-1,4-3-3,Anthony Taylor
