Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
2023-08-13,Sun,1,Away,D 1–1,Liverpool,Chelsea,Y,RW,76,0,1,0,0,3,0,0,0,29,1,0,1,0.3,0.3,0.5,3,1,18,23,3,21,2,0,0,289,74,9,11,6,7,2,2,0.3,1,1,3,1,22,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,13,16,3,92.0,43.0,2,1,1,2,25,4,0,15,0,20.2,4.9,16.6,2023-08-13 15:30:00+00:00,76,0,1,0,2243674,12.0,5,0,0,0,125,2023-08-13
2023-08-19,Sat,2,Home,W 3–1,Liverpool,Bournemouth,Y,"RW,FW",85,1,0,0,1,4,2,0,0,44,1,0,1,1.2,0.3,0.0,3,1,28,33,4,30,2,3,0,385,81,15,17,8,9,1,2,0.1,2,1,2,0,33,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,20,23,8,127.0,69.0,1,0,1,3,37,6,0,15,0,33.0,15.3,41.4,2023-08-19 14:00:00+00:00,85,0,2,0,2739755,79.0,5,163064,211617,48553,125,2023-08-19
2023-08-27,Sun,3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"FW,RW,RM",90,0,1,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.4,4,2,23,24,1,28,1,5,3,303,79,15,16,7,7,0,0,0.1,2,2,1,0,23,1,0,1,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,19,15,4,135.0,44.0,0,2,2,3,28,7,0,19,0,24.9,7.0,28.6,2023-08-27 15:30:00+00:00,90,0,3,0,2570086,16.0,5,-229297,98738,328035,125,2023-08-27
2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,Y,RW,90,1,0,0,0,4,3,0,0,40,2,0,0,0.8,0.8,0.4,5,0,22,27,4,24,3,3,0,302,70,14,16,7,7,1,2,0.1,2,2,2,0,27,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,3,1,0,0,0,0,0,0,22,18,10,111.0,55.0,0,3,1,1,30,6,0,26,1,23.1,18.3,45.2,2023-09-03 13:00:00+00:00,90,0,4,0,2505698,115.0,8,-122416,74612,197028,125,2023-09-03
2023-09-16,Sat,5,Away,W 3–1,Liverpool,Wolves,Y,"RW,FW",89,0,2,0,0,1,0,0,0,31,1,0,0,0.2,0.2,1.6,6,2,19,25,2,19,2,3,0,281,97,11,15,8,9,0,0,1.5,5,1,1,1,24,1,0,0,0,1,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,12,18,8,69.0,20.0,0,2,1,0,26,12,2,35,0,57.4,12.1,44.2,2023-09-16 11:30:00+00:00,90,0,5,0,2540130,19.0,10,-22644,117182,139826,125,2023-09-16
2023-09-24,Sun,6,Home,W 3–1,Liverpool,West Ham,Y,RW,90,1,0,1,1,4,1,0,0,57,1,0,0,1.0,0.2,0.6,5,1,29,43,8,51,7,4,2,402,99,19,21,9,15,1,4,0.3,2,3,1,0,42,1,1,1,0,5,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,3,3,0,0,0,0,0,3,15,40,10,286.0,169.0,3,2,4,0,50,13,3,36,0,28.8,12.2,42.6,2023-09-24 13:00:00+00:00,90,0,6,0,2897929,51.0,10,312437,341186,28749,125,2023-09-24
2023-09-30,Sat,7,Away,L 1–2,Liverpool,Tottenham,Y,"FW,RW,RM",73,0,0,0,0,1,0,1,0,30,0,0,0,0.0,0.0,0.7,3,0,13,21,3,22,6,5,1,210,56,6,7,7,11,0,0,0.4,2,1,2,0,18,2,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,14,16,4,222.0,120.0,3,4,2,1,22,7,0,3,0,27.8,3.8,1.0,2023-09-30 16:30:00+00:00,73,0,7,0,3169998,9.0,1,232578,272616,40038,125,2023-09-30
2023-10-08,Sun,8,Away,D 2–2,Liverpool,Brighton,Y,RW,90,2,0,1,1,4,1,0,0,46,1,0,1,1.4,0.6,0.0,3,0,23,32,5,29,2,5,2,358,125,13,16,9,11,1,4,0.1,1,3,3,0,30,2,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,6,11,29,11,157.0,48.0,0,2,2,2,34,9,3,43,0,13.7,15.6,75.8,2023-10-08 13:00:00+00:00,90,0,8,0,3379782,66.0,15,189634,328947,139313,126,2023-10-08
2023-10-21,Sat,9,Home,W 2–0,Liverpool,Everton,Y,RW,90,2,0,1,1,3,1,0,0,38,0,0,0,1.4,0.6,0.2,5,0,21,29,4,23,3,2,0,278,74,11,13,7,8,0,0,0.1,3,0,1,0,26,3,1,0,0,3,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,28,7,115.0,51.0,1,1,2,3,32,10,3,40,1,34.1,15.6,71.0,2023-10-21 11:30:00+00:00,90,0,9,0,3788926,51.0,16,380449,404926,24477,127,2023-10-21
2023-10-29,Sun,10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,RW,90,1,0,0,0,3,1,0,0,64,0,0,2,0.8,0.8,0.1,5,1,37,55,11,37,6,1,0,593,172,18,22,12,21,4,5,0.1,2,2,2,0,55,0,0,1,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,26,38,5,268.0,104.0,4,3,1,4,60,18,0,19,1,32.3,8.8,35.4,2023-10-29 14:00:00+00:00,90,0,10,0,4320178,20.0,8,504474,521527,17053,128,2023-10-29
